session_duration,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,user_id
0.37,33,0,0,0,0,0.01,0.0,0.01,Sure Thing,550222
3.33,45,0,0,0,0,0.71,0.71,-0.0,Sure Thing,551088
4.73,16,0,1,0,0,0.28,0.21,0.07,Persuadable,553743
3.75,18,0,0,0,0,0.5,0.3,0.21,Persuadable,553904
0.65,49,0,0,0,0,0.01,0.01,0.0,Sure Thing,559266
1.2,38,0,0,0,0,0.09,0.11,-0.02,Do Not Disturb,561503
2.47,41,0,0,1,0,0.71,0.72,-0.01,Sure Thing,561950
6.47,41,0,1,1,0,0.65,0.62,0.03,Sure Thing,564430
0.37,32,0,0,0,0,0.01,0.0,0.01,Sure Thing,568167
0.5,36,0,1,0,0,0.01,0.01,0.0,Sure Thing,570021
3.07,47,1,0,1,0,0.7,0.71,-0.01,Sure Thing,575809
0.38,36,0,0,0,0,0.01,0.01,0.0,Sure Thing,576612
1.87,75,1,0,0,1,0.25,0.13,0.12,Persuadable,580026
4.15,53,0,1,0,0,0.68,0.64,0.03,Sure Thing,583623
0.35,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,584247
3.25,44,1,1,1,0,0.67,0.68,-0.01,Sure Thing,589164
0.37,67,0,0,0,0,0.02,0.0,0.02,Sure Thing,594146
3.15,29,0,0,1,0,0.69,0.68,0.02,Sure Thing,601917
0.35,43,0,1,0,0,0.01,0.01,0.0,Sure Thing,602190
1.12,24,0,1,0,0,0.09,0.04,0.05,Persuadable,603100
2.12,36,0,1,1,1,0.59,0.55,0.03,Sure Thing,607350
1.22,69,1,0,0,0,0.12,0.13,-0.01,Sure Thing,608786
0.23,54,1,0,0,0,0.01,0.01,0.01,Sure Thing,610395
1.38,83,1,0,0,0,0.16,0.16,0.0,Sure Thing,619983
0.23,55,1,0,0,0,0.01,0.01,0.0,Sure Thing,627889
5.38,30,0,0,0,0,0.68,0.61,0.06,Persuadable,627893
2.8,31,0,0,1,1,0.69,0.68,0.02,Sure Thing,631174
1.13,44,0,0,0,0,0.07,0.03,0.04,Sure Thing,651201
0.4,55,0,1,0,0,0.01,0.01,-0.0,Sure Thing,681581
5.33,39,1,1,1,0,0.65,0.6,0.04,Sure Thing,686445
2.35,56,1,0,1,0,0.62,0.62,-0.0,Sure Thing,692510
2.48,35,0,0,1,0,0.71,0.72,-0.01,Sure Thing,698573
0.52,31,0,1,0,0,0.01,0.0,0.01,Sure Thing,705215
2.47,42,0,1,0,0,0.7,0.69,0.01,Sure Thing,722939
4.12,50,0,0,0,0,0.68,0.68,-0.0,Sure Thing,726953
1.25,44,0,0,0,0,0.09,0.1,-0.01,Sure Thing,735029
1.1,21,0,0,0,1,0.07,0.06,0.01,Sure Thing,739139
0.5,51,1,1,0,1,0.02,0.0,0.01,Sure Thing,742639
2.85,36,0,0,0,0,0.7,0.72,-0.01,Sure Thing,190866
2.4,48,0,0,1,0,0.7,0.72,-0.02,Do Not Disturb,347778
1.35,16,0,0,0,0,0.16,0.1,0.06,Persuadable,458725
0.35,26,0,0,0,0,0.01,0.01,0.01,Sure Thing,476956
2.52,38,1,0,1,1,0.69,0.71,-0.02,Do Not Disturb,494294
6.32,43,0,0,1,0,0.69,0.67,0.02,Sure Thing,503973
1.4,29,0,0,0,0,0.16,0.12,0.05,Sure Thing,504892
2.1,47,1,0,0,0,0.62,0.55,0.07,Persuadable,507617
6.7,39,0,0,1,0,0.7,0.67,0.03,Sure Thing,511140
4.02,32,0,0,1,0,0.66,0.63,0.03,Sure Thing,511504
1.15,36,1,1,0,0,0.09,0.05,0.04,Sure Thing,512243
0.23,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,514164
1.25,16,0,0,0,0,0.11,0.1,0.01,Sure Thing,516340
2.58,45,0,1,0,0,0.7,0.69,0.01,Sure Thing,516583
0.65,37,1,1,0,0,0.01,0.0,0.01,Sure Thing,524169
1.2,44,0,0,0,0,0.07,0.1,-0.03,Do Not Disturb,525996
2.1,42,0,0,1,0,0.63,0.59,0.04,Sure Thing,526490
0.98,42,0,1,0,0,0.01,0.01,-0.0,Sure Thing,529510
0.53,39,1,0,0,0,0.01,0.01,0.01,Sure Thing,532843
2.08,22,0,0,0,0,0.39,0.3,0.09,Persuadable,534254
2.1,41,0,0,0,0,0.62,0.59,0.04,Sure Thing,535007
1.13,41,0,0,0,0,0.07,0.03,0.04,Sure Thing,541505
2.97,30,0,0,1,0,0.69,0.68,0.02,Sure Thing,546008
3.23,23,0,0,1,0,0.46,0.34,0.12,Persuadable,546882
2.18,37,0,0,1,0,0.63,0.69,-0.06,Do Not Disturb,548967
2.12,56,1,1,1,1,0.53,0.46,0.07,Persuadable,550572
3.1,44,1,0,1,0,0.69,0.71,-0.01,Sure Thing,551042
2.48,38,1,0,0,0,0.68,0.71,-0.02,Do Not Disturb,554141
2.38,24,0,1,0,0,0.52,0.34,0.19,Persuadable,554949
3.65,37,1,0,1,0,0.69,0.69,-0.0,Sure Thing,555310
3.58,42,0,0,1,0,0.71,0.7,0.01,Sure Thing,556824
0.4,46,1,0,0,0,0.01,0.01,0.0,Sure Thing,557957
7.78,50,0,0,0,0,0.69,0.67,0.02,Sure Thing,571560
4.0,30,0,0,0,0,0.65,0.63,0.02,Sure Thing,573698
1.05,40,1,1,0,0,0.05,0.01,0.03,Sure Thing,573922
2.1,36,0,0,0,0,0.62,0.59,0.02,Sure Thing,579021
1.73,54,1,1,0,1,0.19,0.14,0.05,Persuadable,584843
0.98,25,0,0,0,0,0.01,0.01,0.01,Sure Thing,586038
1.0,43,0,0,0,0,0.01,0.01,-0.0,Sure Thing,595442
1.4,35,1,1,0,0,0.21,0.13,0.08,Persuadable,597300
2.12,42,0,0,0,0,0.64,0.58,0.06,Persuadable,597836
1.38,43,0,0,0,0,0.17,0.11,0.06,Persuadable,598881
0.38,42,0,1,0,1,0.01,0.01,0.0,Sure Thing,613275
3.18,37,0,1,1,0,0.69,0.69,-0.0,Sure Thing,617878
2.47,55,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,627889
2.45,63,1,0,1,0,0.55,0.54,0.01,Sure Thing,637075
6.78,31,0,0,1,0,0.68,0.61,0.06,Persuadable,638162
6.15,34,1,0,0,0,0.65,0.61,0.04,Sure Thing,644784
2.47,40,0,0,1,0,0.7,0.72,-0.02,Sure Thing,675053
4.73,45,1,1,1,0,0.66,0.61,0.05,Sure Thing,693765
2.15,21,0,0,0,0,0.38,0.31,0.06,Persuadable,739139
3.18,54,0,0,0,0,0.68,0.72,-0.04,Do Not Disturb,745292
1.37,23,0,0,0,0,0.14,0.11,0.03,Sure Thing,746934
0.72,64,1,0,0,0,0.01,0.01,0.01,Sure Thing,765745
1.33,38,1,1,0,1,0.18,0.12,0.06,Persuadable,440212
0.72,47,1,1,0,0,0.01,0.0,0.01,Sure Thing,442718
0.52,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,489096
2.83,44,1,0,1,0,0.69,0.71,-0.01,Sure Thing,500828
1.5,38,0,0,1,0,0.2,0.11,0.08,Persuadable,509221
8.2,53,0,0,1,1,0.69,0.66,0.02,Sure Thing,512204
2.08,40,0,0,1,0,0.61,0.58,0.03,Sure Thing,513659
0.5,30,1,1,0,0,0.01,0.0,0.01,Sure Thing,515478
4.0,53,0,0,1,0,0.66,0.68,-0.02,Do Not Disturb,518526
2.12,42,0,1,1,0,0.61,0.54,0.06,Persuadable,522426
0.25,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,525996
0.98,52,0,0,0,0,0.01,0.01,-0.0,Sure Thing,526409
3.47,56,1,1,0,0,0.51,0.55,-0.04,Do Not Disturb,527801
2.63,39,0,0,0,1,0.7,0.72,-0.01,Sure Thing,528661
0.87,32,0,1,0,0,0.01,0.0,0.01,Sure Thing,530869
1.63,16,0,0,0,0,0.17,0.09,0.07,Persuadable,532279
1.52,68,1,0,0,0,0.18,0.13,0.05,Persuadable,532432
2.58,46,0,0,1,1,0.71,0.72,-0.01,Sure Thing,532653
1.45,44,1,1,0,1,0.23,0.12,0.11,Persuadable,535266
1.38,16,0,0,0,1,0.13,0.11,0.02,Sure Thing,554632
4.73,47,1,1,1,0,0.66,0.61,0.06,Persuadable,537289
2.37,39,0,0,0,1,0.69,0.72,-0.03,Do Not Disturb,538529
0.53,67,1,0,0,0,0.02,0.0,0.01,Sure Thing,539426
0.62,47,1,1,0,0,0.01,0.0,0.01,Sure Thing,542795
1.43,52,1,0,0,0,0.18,0.12,0.06,Persuadable,546728
1.27,16,0,0,0,0,0.14,0.1,0.04,Sure Thing,547594
1.25,38,1,0,0,0,0.11,0.13,-0.02,Sure Thing,556314
1.52,46,1,0,1,0,0.21,0.12,0.09,Persuadable,556579
5.75,46,1,1,1,0,0.64,0.6,0.04,Sure Thing,560341
1.08,38,0,0,0,0,0.06,0.04,0.03,Sure Thing,561503
1.62,31,0,0,1,0,0.18,0.12,0.06,Persuadable,565768
0.58,41,0,0,0,0,0.01,0.01,0.0,Sure Thing,566547
0.27,54,0,1,0,0,0.01,0.01,0.0,Sure Thing,566735
0.73,52,1,1,0,0,0.01,0.0,0.01,Sure Thing,566881
4.7,32,0,0,0,0,0.67,0.61,0.06,Persuadable,567547
0.78,53,1,1,0,0,0.01,0.0,0.01,Sure Thing,568004
0.63,43,0,0,0,0,0.01,0.01,0.0,Sure Thing,579230
1.92,47,1,0,0,1,0.3,0.3,-0.0,Sure Thing,587304
0.38,43,0,1,0,0,0.01,0.01,0.0,Sure Thing,583764
0.37,44,1,1,0,0,0.02,0.0,0.01,Sure Thing,593385
14.45,46,1,1,1,0,0.71,0.64,0.07,Persuadable,594824
0.62,28,0,0,0,0,0.01,0.0,0.01,Sure Thing,600561
0.62,67,0,0,0,0,0.02,0.0,0.02,Sure Thing,618664
0.48,20,0,0,0,0,0.01,0.0,0.01,Sure Thing,605776
1.48,47,1,1,0,0,0.26,0.12,0.14,Persuadable,609051
2.82,36,0,0,1,0,0.7,0.72,-0.01,Sure Thing,611839
2.32,53,1,1,0,0,0.66,0.68,-0.02,Sure Thing,616692
2.95,38,0,0,1,0,0.7,0.72,-0.02,Sure Thing,617125
2.53,62,1,0,0,0,0.57,0.56,0.01,Sure Thing,618881
0.73,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,622464
1.15,42,0,0,0,0,0.08,0.04,0.04,Sure Thing,626519
2.08,18,0,1,0,0,0.3,0.26,0.04,Sure Thing,634739
6.87,54,1,1,0,0,0.63,0.59,0.04,Sure Thing,648852
1.15,36,0,0,1,0,0.08,0.05,0.03,Sure Thing,650901
1.82,58,1,0,0,0,0.23,0.14,0.09,Persuadable,664617
3.65,43,0,0,0,0,0.71,0.69,0.02,Sure Thing,669356
2.12,48,1,0,0,0,0.63,0.55,0.08,Persuadable,676707
0.95,38,0,0,0,0,0.01,0.01,0.01,Sure Thing,680735
0.65,40,1,0,0,1,0.01,0.01,0.01,Sure Thing,699411
3.25,44,0,0,1,0,0.71,0.72,-0.01,Sure Thing,735029
8.12,34,0,1,1,0,0.65,0.59,0.06,Persuadable,756030
2.97,35,1,0,1,0,0.68,0.7,-0.02,Do Not Disturb,382181
2.25,50,1,0,1,0,0.66,0.7,-0.04,Do Not Disturb,395981
1.38,50,1,0,0,0,0.17,0.12,0.05,Sure Thing,448295
0.73,49,1,1,0,0,0.02,0.0,0.01,Sure Thing,491241
1.25,37,1,0,0,0,0.11,0.13,-0.02,Sure Thing,506234
5.13,52,1,0,0,0,0.67,0.66,0.01,Sure Thing,511195
3.38,31,0,1,0,1,0.67,0.65,0.02,Sure Thing,515831
3.22,16,0,0,0,0,0.47,0.32,0.15,Persuadable,516340
2.48,40,0,0,1,0,0.7,0.72,-0.02,Sure Thing,516351
4.08,38,0,0,0,0,0.67,0.68,-0.01,Sure Thing,516578
3.1,44,1,0,1,0,0.69,0.71,-0.01,Sure Thing,519747
1.1,40,0,0,0,1,0.05,0.04,0.01,Sure Thing,521607
0.48,19,0,0,0,0,0.01,0.0,0.01,Sure Thing,521719
7.83,38,1,1,0,1,0.64,0.6,0.03,Sure Thing,522086
1.22,32,0,0,0,0,0.09,0.11,-0.02,Sure Thing,524383
3.15,29,0,1,1,0,0.67,0.66,0.01,Sure Thing,524807
4.12,46,0,1,0,0,0.68,0.65,0.03,Sure Thing,526372
0.37,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,526925
0.85,46,0,0,0,0,0.01,0.01,0.0,Sure Thing,527280
1.73,38,1,1,0,1,0.26,0.14,0.12,Persuadable,530667
0.67,40,0,1,0,0,0.01,0.01,0.0,Sure Thing,532258
1.82,49,0,0,0,0,0.23,0.11,0.12,Persuadable,538260
0.23,55,0,0,0,0,0.01,0.01,0.0,Sure Thing,539135
0.63,38,1,0,0,1,0.01,0.01,0.0,Sure Thing,540656
1.02,40,0,1,0,0,0.01,0.01,-0.0,Sure Thing,541001
1.02,38,0,1,0,0,0.01,0.01,-0.0,Sure Thing,541176
3.13,46,1,0,1,0,0.69,0.71,-0.01,Sure Thing,541764
0.67,40,1,0,0,1,0.01,0.01,0.01,Sure Thing,542657
0.38,24,0,0,0,0,0.01,0.0,0.01,Sure Thing,542812
0.83,34,0,1,0,0,0.01,0.0,0.01,Sure Thing,543713
5.13,47,0,0,0,0,0.68,0.67,0.01,Sure Thing,545629
3.22,42,0,0,1,0,0.71,0.72,-0.01,Sure Thing,545936
3.45,48,1,1,1,0,0.67,0.67,0.0,Sure Thing,546190
2.37,52,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,546728
3.93,35,0,1,0,0,0.66,0.65,0.01,Sure Thing,549797
3.15,45,0,0,1,0,0.71,0.72,-0.01,Sure Thing,551088
1.03,40,1,0,0,0,0.03,0.01,0.02,Sure Thing,553361
1.13,58,1,0,0,0,0.08,0.02,0.06,Persuadable,553631
0.55,35,0,0,0,0,0.01,0.01,0.0,Sure Thing,554956
1.3,16,0,0,1,0,0.16,0.1,0.06,Persuadable,556274
0.95,73,1,0,0,0,0.01,0.0,0.01,Sure Thing,558147
3.23,43,1,0,0,0,0.69,0.71,-0.01,Sure Thing,558270
3.08,35,1,0,0,0,0.68,0.7,-0.02,Do Not Disturb,559068
5.68,43,0,0,1,0,0.69,0.67,0.02,Sure Thing,559981
5.98,37,1,0,1,0,0.66,0.66,0.0,Sure Thing,560511
3.05,46,1,1,1,0,0.67,0.68,-0.01,Sure Thing,562238
2.08,16,0,0,0,0,0.33,0.32,0.01,Sure Thing,567458
0.28,58,0,0,0,0,0.01,0.01,0.0,Sure Thing,571251
1.6,50,1,0,0,1,0.21,0.12,0.08,Persuadable,573939
4.13,41,0,0,1,0,0.68,0.68,0.0,Sure Thing,577145
0.5,27,0,1,0,0,0.01,0.0,0.01,Sure Thing,579323
2.28,49,1,0,1,0,0.67,0.7,-0.03,Do Not Disturb,584666
0.27,65,1,0,0,1,0.01,0.0,0.01,Sure Thing,585138
2.1,43,1,1,1,0,0.58,0.54,0.04,Sure Thing,588797
7.52,37,0,0,0,0,0.69,0.67,0.02,Sure Thing,590040
2.07,35,1,1,0,0,0.58,0.53,0.04,Sure Thing,596320
4.17,41,0,0,1,0,0.68,0.68,0.0,Sure Thing,596505
1.0,24,0,0,0,0,0.01,0.01,0.01,Sure Thing,599244
1.98,38,1,1,0,0,0.43,0.43,0.0,Sure Thing,601673
0.48,32,0,0,0,0,0.01,0.0,0.01,Sure Thing,604388
2.0,33,0,0,0,1,0.39,0.5,-0.11,Do Not Disturb,605615
2.58,42,0,1,0,0,0.7,0.69,0.01,Sure Thing,613275
2.43,52,1,1,1,0,0.67,0.68,-0.01,Sure Thing,619321
0.73,68,1,0,0,0,0.01,0.0,0.01,Sure Thing,631872
5.25,62,1,1,0,1,0.39,0.44,-0.05,Do Not Disturb,640649
0.93,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,665397
0.6,64,1,0,0,0,0.01,0.01,0.01,Sure Thing,673286
0.37,46,1,1,0,0,0.01,0.0,0.01,Sure Thing,679040
1.23,49,1,0,0,1,0.1,0.12,-0.01,Sure Thing,283325
0.27,16,0,0,0,1,0.01,0.0,0.01,Sure Thing,382533
7.73,54,1,0,0,0,0.65,0.65,0.0,Sure Thing,416319
0.88,42,0,0,0,0,0.01,0.01,0.0,Sure Thing,437251
2.37,35,1,0,1,1,0.67,0.71,-0.03,Do Not Disturb,438189
0.52,48,1,0,0,0,0.01,0.01,0.01,Sure Thing,468409
2.72,45,1,0,1,0,0.69,0.71,-0.01,Sure Thing,493177
3.37,26,0,0,1,0,0.63,0.67,-0.04,Do Not Disturb,500773
7.88,57,1,0,1,1,0.57,0.53,0.04,Sure Thing,504936
3.97,54,1,0,0,0,0.66,0.68,-0.02,Do Not Disturb,506704
1.4,34,0,0,0,0,0.15,0.12,0.03,Sure Thing,511811
0.53,23,0,0,0,0,0.01,0.0,0.0,Sure Thing,512305
2.75,48,1,1,0,0,0.68,0.68,-0.01,Sure Thing,513347
0.27,25,0,0,0,0,0.01,0.0,0.01,Sure Thing,513602
1.1,45,0,0,0,0,0.05,0.03,0.02,Sure Thing,513613
0.25,45,1,0,0,1,0.01,0.01,0.0,Sure Thing,514164
2.42,40,0,0,1,0,0.69,0.72,-0.03,Do Not Disturb,514457
4.72,38,1,0,1,0,0.66,0.66,0.0,Sure Thing,515666
0.53,22,0,1,0,1,0.0,0.01,-0.0,Sure Thing,515974
2.18,36,0,0,1,0,0.63,0.69,-0.06,Do Not Disturb,516216
1.38,47,1,0,0,0,0.18,0.12,0.06,Persuadable,518956
2.33,51,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,525034
0.73,49,1,0,0,0,0.01,0.01,0.01,Sure Thing,526540
1.95,48,1,1,0,0,0.39,0.32,0.07,Persuadable,529424
2.8,37,1,0,1,0,0.68,0.71,-0.02,Do Not Disturb,529734
2.73,43,0,0,1,1,0.71,0.72,-0.01,Sure Thing,530427
4.98,48,0,1,1,0,0.68,0.62,0.06,Persuadable,538131
3.3,29,0,0,1,0,0.69,0.68,0.02,Sure Thing,540413
2.42,62,1,0,1,1,0.57,0.56,0.01,Sure Thing,541980
2.65,48,1,0,1,0,0.7,0.71,-0.01,Sure Thing,544254
1.75,42,1,0,0,0,0.22,0.12,0.1,Persuadable,545115
1.27,77,1,0,1,1,0.27,0.14,0.13,Persuadable,551473
0.65,53,1,0,0,0,0.01,0.01,0.0,Sure Thing,555796
0.12,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,556906
1.02,47,0,0,0,0,0.01,0.01,-0.0,Sure Thing,557055
4.02,39,1,0,1,0,0.65,0.68,-0.02,Do Not Disturb,557282
4.18,38,0,0,1,0,0.68,0.68,-0.0,Sure Thing,559782
2.48,52,1,1,1,0,0.68,0.68,-0.0,Sure Thing,560991
0.23,39,0,0,0,0,0.01,0.01,0.0,Sure Thing,561353
1.35,44,1,0,0,0,0.15,0.12,0.04,Sure Thing,564534
2.8,28,0,0,1,1,0.69,0.68,0.01,Sure Thing,565459
1.08,32,0,1,0,0,0.07,0.03,0.04,Sure Thing,567943
1.52,47,1,0,0,0,0.22,0.12,0.1,Persuadable,569534
0.13,75,1,0,0,0,0.01,0.0,0.01,Sure Thing,570961
1.53,50,0,0,0,0,0.21,0.11,0.1,Persuadable,571560
0.9,54,1,1,0,1,0.01,0.0,0.01,Sure Thing,578396
1.42,43,0,0,0,0,0.18,0.11,0.07,Persuadable,579230
3.25,40,1,1,0,1,0.66,0.68,-0.02,Sure Thing,580944
3.5,40,1,1,1,0,0.66,0.67,-0.01,Sure Thing,582577
1.53,43,0,0,0,0,0.22,0.11,0.11,Persuadable,586312
2.53,34,0,1,1,0,0.68,0.67,0.01,Sure Thing,586631
3.92,72,1,0,0,1,0.26,0.3,-0.04,Do Not Disturb,587753
3.23,40,0,0,1,1,0.7,0.72,-0.02,Sure Thing,589489
3.68,21,0,0,0,0,0.5,0.29,0.21,Persuadable,589539
1.83,50,1,0,0,0,0.23,0.14,0.09,Persuadable,594644
0.48,52,0,0,0,0,0.01,0.01,-0.0,Sure Thing,597878
1.77,44,1,0,0,0,0.23,0.12,0.11,Persuadable,600648
0.63,65,1,0,0,0,0.01,0.0,0.01,Sure Thing,615922
2.18,57,1,0,1,0,0.58,0.57,0.01,Sure Thing,621081
2.03,52,1,0,0,0,0.6,0.51,0.09,Persuadable,623972
1.12,40,0,0,0,0,0.06,0.03,0.03,Sure Thing,632631
2.85,41,0,1,1,0,0.7,0.69,0.0,Sure Thing,635949
0.98,78,0,0,0,0,0.03,0.01,0.02,Sure Thing,655022
3.12,42,1,0,0,0,0.69,0.71,-0.02,Sure Thing,669449
0.75,40,1,0,0,0,0.01,0.01,0.01,Sure Thing,671368
0.63,24,0,0,0,0,0.01,0.0,0.01,Sure Thing,748759
2.8,44,1,1,1,0,0.67,0.68,-0.01,Sure Thing,106907
9.83,43,0,1,0,0,0.66,0.62,0.04,Sure Thing,452594
1.98,36,1,1,0,0,0.43,0.44,-0.01,Sure Thing,456663
1.03,38,1,1,0,0,0.05,0.01,0.05,Sure Thing,458762
0.37,30,0,0,0,0,0.01,0.0,0.01,Sure Thing,463867
2.68,41,0,0,0,0,0.71,0.72,-0.01,Sure Thing,489730
2.62,29,0,0,1,0,0.7,0.68,0.02,Sure Thing,509765
2.1,39,0,1,0,0,0.56,0.55,0.01,Sure Thing,510707
0.6,37,1,0,0,0,0.01,0.01,0.0,Sure Thing,513089
1.47,41,1,1,1,1,0.24,0.12,0.12,Persuadable,514053
0.48,16,0,1,0,0,0.01,0.0,0.01,Sure Thing,516086
3.43,29,0,0,1,0,0.7,0.66,0.04,Sure Thing,518372
1.47,48,1,1,1,0,0.21,0.12,0.1,Persuadable,518827
1.27,44,1,0,0,0,0.16,0.11,0.05,Sure Thing,521152
0.72,40,0,0,0,0,0.01,0.01,0.0,Sure Thing,522513
1.5,36,0,1,0,1,0.23,0.12,0.11,Persuadable,523511
0.78,30,0,0,0,0,0.01,0.0,0.01,Sure Thing,527150
2.52,47,1,0,1,0,0.7,0.71,-0.01,Sure Thing,529019
2.53,39,0,1,1,0,0.69,0.69,0.0,Sure Thing,532748
2.85,51,0,0,1,0,0.71,0.72,-0.01,Sure Thing,533283
1.23,57,1,1,0,0,0.21,0.11,0.09,Persuadable,533393
2.7,41,1,0,0,0,0.68,0.71,-0.02,Do Not Disturb,534045
2.35,43,0,0,1,0,0.7,0.72,-0.02,Sure Thing,534474
1.97,50,0,0,0,0,0.41,0.26,0.15,Persuadable,536387
2.42,31,0,0,1,0,0.69,0.68,0.01,Sure Thing,542805
1.88,28,0,0,0,0,0.23,0.17,0.06,Persuadable,546888
1.45,43,1,0,1,0,0.18,0.12,0.06,Persuadable,551804
3.4,41,0,0,0,0,0.71,0.7,0.01,Sure Thing,554609
5.52,53,1,0,1,0,0.66,0.66,0.01,Sure Thing,555796
2.35,34,0,0,0,0,0.69,0.69,-0.0,Sure Thing,557248
1.4,49,0,0,1,0,0.17,0.11,0.07,Persuadable,559324
1.98,41,0,1,0,0,0.49,0.42,0.07,Persuadable,559469
3.13,46,1,0,1,0,0.69,0.71,-0.01,Sure Thing,562708
1.37,43,0,0,1,0,0.17,0.11,0.06,Persuadable,563489
1.12,37,1,0,0,0,0.07,0.04,0.03,Sure Thing,564604
0.27,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,565464
3.22,27,1,1,1,0,0.65,0.66,-0.01,Sure Thing,566059
2.55,39,0,0,1,0,0.7,0.72,-0.02,Sure Thing,569150
1.32,41,1,0,0,0,0.15,0.12,0.04,Sure Thing,569472
0.52,43,0,0,0,1,0.01,0.01,0.0,Sure Thing,576962
0.47,43,1,1,0,0,0.02,0.0,0.01,Sure Thing,581110
4.37,44,1,1,1,1,0.65,0.64,0.02,Sure Thing,581111
2.67,52,1,0,1,0,0.7,0.71,-0.01,Sure Thing,581901
1.05,36,0,1,0,0,0.02,0.02,0.0,Sure Thing,592366
1.95,35,1,1,0,0,0.4,0.33,0.07,Persuadable,598075
1.15,41,1,0,0,0,0.09,0.05,0.04,Sure Thing,599454
0.97,24,0,1,0,0,0.01,0.01,0.0,Sure Thing,601894
4.63,54,1,0,1,0,0.65,0.66,-0.01,Sure Thing,602925
23.28,39,1,1,0,0,0.98,0.64,0.34,Persuadable,616715
1.15,63,1,0,0,0,0.08,0.04,0.04,Sure Thing,617743
1.53,58,1,0,0,0,0.17,0.13,0.04,Sure Thing,617990
4.07,21,0,0,0,0,0.48,0.29,0.19,Persuadable,620991
6.2,45,0,0,1,0,0.69,0.67,0.02,Sure Thing,623850
0.38,36,0,1,0,0,0.01,0.01,0.0,Sure Thing,625089
3.48,22,1,1,1,1,0.56,0.29,0.27,Persuadable,633314
0.77,56,1,0,0,1,0.01,0.01,0.0,Sure Thing,637555
2.85,35,0,0,0,0,0.71,0.72,-0.01,Sure Thing,637633
2.22,40,0,0,1,0,0.63,0.71,-0.08,Do Not Disturb,642344
0.25,43,0,0,0,0,0.01,0.01,0.0,Sure Thing,645047
0.63,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,647862
5.43,55,0,1,0,0,0.65,0.6,0.05,Persuadable,660959
0.38,50,0,0,0,0,0.01,0.01,0.0,Sure Thing,671975
0.25,45,0,0,0,0,0.01,0.01,0.0,Sure Thing,676570
2.75,37,1,0,1,1,0.68,0.71,-0.02,Do Not Disturb,724581
1.08,39,0,0,0,0,0.06,0.03,0.03,Sure Thing,390811
8.12,19,0,0,1,0,0.47,0.46,0.0,Sure Thing,428858
2.25,45,1,0,1,0,0.66,0.7,-0.04,Do Not Disturb,453168
1.08,32,0,0,0,0,0.06,0.03,0.02,Sure Thing,477805
0.53,33,0,0,0,0,0.01,0.0,0.01,Sure Thing,496972
2.72,38,1,0,1,0,0.68,0.71,-0.02,Do Not Disturb,497915
0.47,48,1,1,0,0,0.02,0.0,0.01,Sure Thing,499847
3.3,43,0,0,1,1,0.71,0.72,-0.01,Sure Thing,504435
1.03,50,1,1,0,0,0.06,0.01,0.06,Persuadable,513438
3.08,35,1,0,0,0,0.68,0.7,-0.02,Do Not Disturb,513844
0.88,48,1,0,0,0,0.01,0.01,0.01,Sure Thing,515306
3.37,35,1,0,0,0,0.68,0.69,-0.01,Sure Thing,515645
0.73,24,0,0,0,0,0.01,0.0,0.01,Sure Thing,517143
0.78,37,0,1,0,0,0.01,0.01,0.0,Sure Thing,518826
0.38,22,0,0,0,0,0.01,0.0,0.0,Sure Thing,519406
1.08,47,1,1,0,0,0.08,0.02,0.06,Persuadable,520311
0.4,23,0,1,0,0,0.01,0.01,0.0,Sure Thing,522184
1.87,42,1,0,0,0,0.26,0.17,0.09,Persuadable,529768
2.8,69,0,0,0,0,0.46,0.38,0.08,Persuadable,531795
1.97,46,1,0,1,0,0.36,0.37,-0.01,Sure Thing,533542
7.55,37,1,1,0,0,0.64,0.6,0.03,Sure Thing,534190
0.75,38,1,0,0,0,0.01,0.01,0.0,Sure Thing,537414
2.67,41,0,1,1,1,0.7,0.69,0.0,Sure Thing,540147
0.62,29,0,0,0,0,0.01,0.0,0.01,Sure Thing,540306
2.25,45,1,1,1,0,0.63,0.67,-0.05,Do Not Disturb,540580
3.82,47,1,0,1,0,0.7,0.68,0.01,Sure Thing,541235
0.88,43,1,0,0,0,0.01,0.01,0.01,Sure Thing,541672
1.0,18,0,1,0,0,0.01,0.01,0.0,Sure Thing,545247
0.73,49,0,0,0,0,0.01,0.01,0.0,Sure Thing,547951
0.83,21,0,0,0,0,0.01,0.0,0.0,Sure Thing,551908
3.43,43,0,0,1,0,0.71,0.7,0.01,Sure Thing,552945
2.08,41,0,0,0,1,0.62,0.57,0.05,Sure Thing,554609
3.15,36,0,0,1,0,0.7,0.72,-0.01,Sure Thing,554885
