session_duration,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,decision,user_id
0.4,35,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,513241
0.25,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,519897
0.62,45,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,521185
2.0,19,0,0,0,0,0.24,0.31,-0.07,Do Not Disturb,0.35,Avoid (Do Not Disturb),521719
0.63,49,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,522118
1.63,53,1,1,0,0,0.21,0.13,0.07,Persuadable,0.14,Give Discount,522438
2.58,36,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),523256
1.25,22,0,0,0,0,0.11,0.1,0.01,Sure Thing,0.1,No Action,523887
0.25,48,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,526867
4.13,39,1,1,1,0,0.65,0.65,-0.0,Sure Thing,0.67,Avoid (Do Not Disturb),527046
1.18,54,1,0,0,0,0.09,0.08,0.01,Sure Thing,0.1,No Action,529422
3.72,78,1,0,1,0,0.35,0.3,0.05,Persuadable,0.29,Give Discount,531031
6.45,32,1,1,1,0,0.63,0.56,0.06,Persuadable,0.62,Give Discount,533550
1.97,41,0,0,0,0,0.4,0.26,0.14,Persuadable,0.26,Give Discount,536066
0.85,39,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,536656
0.65,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,537580
1.23,33,0,0,1,0,0.1,0.12,-0.02,Sure Thing,0.11,Avoid (Do Not Disturb),537776
0.6,35,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,538350
2.23,37,0,0,0,1,0.62,0.71,-0.08,Do Not Disturb,0.7,Avoid (Do Not Disturb),539916
0.72,48,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,540654
0.13,37,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,543222
1.52,34,0,1,0,0,0.24,0.12,0.11,Persuadable,0.14,Give Discount,543713
1.7,19,0,0,0,0,0.12,0.1,0.03,Sure Thing,0.1,No Action,544507
2.78,38,0,0,1,0,0.7,0.72,-0.02,Sure Thing,0.71,No Discount (Sure Thing),544549
7.4,20,0,0,0,0,0.48,0.32,0.17,Persuadable,0.32,Give Discount,548093
0.97,65,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,548228
2.08,54,1,1,1,0,0.55,0.52,0.03,Sure Thing,0.51,No Action,548568
0.87,41,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,549482
1.77,52,1,1,0,0,0.24,0.13,0.11,Persuadable,0.15,Give Discount,550599
2.8,33,1,0,1,0,0.68,0.67,0.01,Sure Thing,0.66,No Action,554507
0.52,40,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,561710
1.13,37,1,0,0,0,0.07,0.04,0.03,Sure Thing,0.04,No Action,564604
0.37,31,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,566770
1.32,48,1,1,0,1,0.17,0.11,0.06,Persuadable,0.13,Give Discount,574440
4.58,46,1,1,0,0,0.66,0.61,0.04,Sure Thing,0.66,No Action,577381
0.85,75,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,580026
1.12,41,1,1,0,0,0.08,0.03,0.06,Persuadable,0.04,Give Discount,584530
1.7,34,0,1,0,0,0.21,0.13,0.08,Persuadable,0.14,Give Discount,586251
1.95,16,0,0,0,0,0.2,0.17,0.03,Sure Thing,0.14,No Action,588313
1.27,49,0,0,0,0,0.2,0.11,0.09,Persuadable,0.12,Give Discount,588414
2.22,48,0,0,1,0,0.64,0.71,-0.06,Do Not Disturb,0.7,Avoid (Do Not Disturb),589775
1.33,79,0,0,0,0,0.28,0.15,0.13,Persuadable,0.16,Give Discount,592403
2.33,36,1,1,1,0,0.66,0.68,-0.02,Sure Thing,0.67,Avoid (Do Not Disturb),602769
1.08,65,1,0,0,0,0.09,0.02,0.07,Persuadable,0.03,Give Discount,603341
0.52,32,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,608970
2.63,16,0,0,0,0,0.47,0.33,0.13,Persuadable,0.34,Give Discount,626114
0.38,63,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,637075
1.38,41,0,1,0,1,0.21,0.11,0.1,Persuadable,0.13,Give Discount,663376
0.73,50,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,739734
13.05,43,1,1,0,1,0.66,0.64,0.02,Sure Thing,0.68,No Action,777846
6.42,50,0,1,1,0,0.66,0.62,0.04,Sure Thing,0.67,No Action,118043
0.65,18,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,217114
0.37,39,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,338086
1.12,38,0,1,0,0,0.08,0.03,0.05,Persuadable,0.04,Give Discount,353694
2.27,64,1,1,0,0,0.47,0.46,0.01,Sure Thing,0.47,No Action,429345
2.78,36,0,0,1,0,0.7,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),475531
0.27,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,491995
2.58,45,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),496332
2.42,43,0,0,1,0,0.7,0.72,-0.02,Sure Thing,0.71,No Discount (Sure Thing),498357
3.18,47,1,0,1,1,0.7,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),507617
1.98,41,0,0,0,0,0.45,0.5,-0.05,Do Not Disturb,0.53,Avoid (Do Not Disturb),511613
2.7,39,1,0,1,0,0.68,0.71,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),512826
1.22,45,1,1,1,0,0.1,0.11,-0.01,Sure Thing,0.11,Avoid (Do Not Disturb),513031
0.5,43,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,514867
2.23,66,1,0,0,0,0.38,0.29,0.09,Persuadable,0.3,Give Discount,515874
0.27,40,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,519853
2.25,28,0,0,1,1,0.65,0.66,-0.02,Sure Thing,0.66,Avoid (Do Not Disturb),526565
0.38,25,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,526740
3.73,46,1,1,0,0,0.67,0.67,0.0,Sure Thing,0.67,No Action,528330
3.52,46,1,0,1,0,0.7,0.69,0.0,Sure Thing,0.7,No Discount (Sure Thing),528580
1.02,40,0,0,0,0,0.01,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),528828
3.72,49,1,0,1,1,0.7,0.69,0.01,Sure Thing,0.7,No Discount (Sure Thing),530365
3.28,34,0,0,0,0,0.7,0.69,0.01,Sure Thing,0.67,No Action,533411
1.0,44,1,1,0,0,0.02,0.01,0.01,Sure Thing,0.01,No Action,533759
4.2,27,0,1,0,0,0.63,0.61,0.03,Sure Thing,0.63,No Action,535625
1.02,37,0,1,0,0,0.01,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),539307
1.22,44,1,0,0,0,0.08,0.11,-0.03,Do Not Disturb,0.11,Avoid (Do Not Disturb),541326
1.12,38,1,0,0,0,0.07,0.04,0.04,Sure Thing,0.04,No Action,545745
9.12,59,1,1,0,0,0.47,0.43,0.04,Sure Thing,0.47,No Action,550193
0.52,16,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,550887
0.6,34,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,552573
5.25,54,1,1,0,0,0.64,0.59,0.05,Persuadable,0.65,Give Discount,557875
0.65,47,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,558018
2.5,43,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),562428
2.25,25,0,1,1,1,0.57,0.57,0.0,Sure Thing,0.58,No Action,563995
0.78,35,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,564606
2.45,41,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,0.7,No Discount (Sure Thing),566815
3.72,32,0,0,1,0,0.7,0.65,0.05,Sure Thing,0.67,No Action,567547
1.08,39,0,0,0,0,0.06,0.03,0.03,Sure Thing,0.04,No Action,569150
0.98,35,0,0,0,0,0.01,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),573420
0.87,32,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,574419
1.07,34,1,0,0,0,0.09,0.03,0.05,Persuadable,0.05,Give Discount,583483
0.27,38,1,1,0,1,0.02,0.0,0.01,Sure Thing,0.01,No Action,588370
3.22,52,1,0,1,0,0.69,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),590379
2.73,39,0,0,1,0,0.7,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),595386
1.98,38,1,0,1,0,0.39,0.51,-0.12,Do Not Disturb,0.53,Avoid (Do Not Disturb),597029
1.87,27,0,0,0,0,0.21,0.16,0.04,Sure Thing,0.16,No Action,599909
0.9,48,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,600750
0.87,40,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,608296
1.18,37,0,0,0,1,0.09,0.08,0.01,Sure Thing,0.1,No Action,614033
1.55,21,0,0,0,0,0.23,0.12,0.1,Persuadable,0.14,Give Discount,616789
2.02,40,0,0,0,1,0.45,0.52,-0.07,Do Not Disturb,0.53,Avoid (Do Not Disturb),624198
2.47,44,0,1,0,0,0.7,0.69,0.01,Sure Thing,0.68,No Action,625400
1.0,44,0,0,0,0,0.01,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),626520
1.23,68,1,0,0,0,0.15,0.13,0.02,Sure Thing,0.12,No Action,631872
2.43,45,0,0,1,1,0.7,0.72,-0.02,Sure Thing,0.71,No Discount (Sure Thing),636524
3.02,44,1,0,0,0,0.69,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),644438
1.25,22,0,0,0,0,0.11,0.1,0.01,Sure Thing,0.1,No Action,651274
0.3,56,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,651941
5.65,37,0,0,1,0,0.68,0.67,0.01,Sure Thing,0.7,No Discount (Sure Thing),653281
1.4,54,1,0,0,0,0.16,0.12,0.04,Sure Thing,0.13,No Action,653724
2.6,38,1,1,1,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),659162
0.6,47,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,659744
2.47,52,1,0,0,0,0.69,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),670626
1.9,40,1,0,0,0,0.26,0.19,0.07,Persuadable,0.19,Give Discount,671368
3.05,44,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),686165
2.38,46,0,0,1,1,0.7,0.72,-0.02,Do Not Disturb,0.71,No Discount (Sure Thing),686408
2.0,35,0,0,1,0,0.39,0.52,-0.12,Do Not Disturb,0.53,Avoid (Do Not Disturb),698573
1.77,51,0,0,1,1,0.24,0.11,0.12,Persuadable,0.13,Give Discount,730639
3.0,42,1,1,0,1,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),736833
2.18,47,1,1,0,0,0.6,0.65,-0.04,Do Not Disturb,0.63,Avoid (Do Not Disturb),751545
3.02,42,1,0,1,0,0.69,0.71,-0.02,Sure Thing,0.7,No Discount (Sure Thing),101961
1.88,49,1,0,1,0,0.25,0.18,0.07,Persuadable,0.19,Give Discount,283325
1.27,42,0,0,0,0,0.17,0.11,0.06,Persuadable,0.11,Give Discount,403881
1.12,39,0,0,0,0,0.07,0.03,0.03,Sure Thing,0.04,No Action,431746
0.97,28,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,486605
3.85,41,0,0,0,1,0.7,0.69,0.01,Sure Thing,0.71,No Discount (Sure Thing),487453
0.38,58,1,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,No Action,506777
0.37,51,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,510449
0.6,45,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,511502
2.32,38,0,0,1,0,0.69,0.72,-0.03,Do Not Disturb,0.71,No Discount (Sure Thing),514892
2.63,40,0,0,0,0,0.7,0.72,-0.02,Sure Thing,0.71,No Discount (Sure Thing),518579
0.6,73,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,521187
0.97,47,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,521434
3.1,54,1,0,1,0,0.68,0.71,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),521509
0.52,47,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,522476
1.62,57,1,0,0,0,0.22,0.13,0.08,Persuadable,0.14,Give Discount,524046
3.88,48,1,1,1,0,0.66,0.66,0.0,Sure Thing,0.67,No Action,529424
4.07,32,0,0,1,0,0.67,0.63,0.04,Sure Thing,0.66,No Action,531467
2.1,41,1,0,1,0,0.61,0.56,0.05,Sure Thing,0.58,No Action,535746
3.57,54,1,0,1,0,0.68,0.69,-0.01,Sure Thing,0.7,No Discount (Sure Thing),538349
2.45,39,0,0,1,0,0.7,0.72,-0.02,Sure Thing,0.71,No Discount (Sure Thing),538529
1.87,55,0,0,0,0,0.25,0.15,0.1,Persuadable,0.16,Give Discount,539135
1.75,39,0,0,1,0,0.23,0.12,0.11,Persuadable,0.13,Give Discount,539320
1.4,30,0,1,0,0,0.25,0.12,0.13,Persuadable,0.13,Give Discount,542663
3.47,42,0,0,1,0,0.71,0.7,0.01,Sure Thing,0.71,No Discount (Sure Thing),544680
8.03,37,0,1,0,0,0.66,0.62,0.04,Sure Thing,0.67,No Action,544926
1.47,50,1,1,0,0,0.21,0.12,0.09,Persuadable,0.13,Give Discount,545249
4.18,35,0,0,1,0,0.68,0.68,0.0,Sure Thing,0.7,No Discount (Sure Thing),545981
3.78,48,1,1,1,0,0.67,0.66,0.0,Sure Thing,0.67,No Action,546972
3.48,31,1,0,1,0,0.68,0.65,0.03,Sure Thing,0.66,No Action,547007
0.38,42,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,547776
5.33,40,0,0,1,1,0.68,0.67,0.01,Sure Thing,0.7,No Discount (Sure Thing),548672
1.37,43,1,0,0,1,0.17,0.12,0.05,Sure Thing,0.12,No Action,550421
2.23,61,1,0,0,0,0.57,0.53,0.03,Sure Thing,0.51,No Action,554357
2.23,41,0,0,1,0,0.64,0.71,-0.07,Do Not Disturb,0.7,Avoid (Do Not Disturb),554609
1.37,44,1,1,0,0,0.21,0.11,0.1,Persuadable,0.13,Give Discount,555770
2.55,48,0,1,1,1,0.7,0.69,0.01,Sure Thing,0.68,No Action,556111
2.07,39,0,0,1,0,0.6,0.56,0.05,Sure Thing,0.57,No Action,556906
2.27,73,1,0,1,0,0.34,0.29,0.05,Persuadable,0.3,Give Discount,558147
4.02,43,0,0,1,0,0.67,0.68,-0.01,Sure Thing,0.7,No Discount (Sure Thing),558920
3.32,35,0,0,1,0,0.71,0.71,-0.01,Sure Thing,0.71,No Discount (Sure Thing),559901
7.68,48,1,0,0,0,0.67,0.66,0.02,Sure Thing,0.69,No Action,561994
1.38,24,0,1,1,0,0.21,0.13,0.08,Persuadable,0.12,Give Discount,568513
0.53,35,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,570346
3.12,16,0,0,0,0,0.48,0.32,0.15,Persuadable,0.33,Give Discount,570930
2.68,75,1,0,1,0,0.38,0.3,0.08,Persuadable,0.3,Give Discount,570961
0.77,47,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,573249
2.25,41,1,0,0,0,0.65,0.7,-0.05,Do Not Disturb,0.7,Avoid (Do Not Disturb),574134
1.95,45,1,0,0,0,0.39,0.34,0.05,Sure Thing,0.3,No Action,578938
0.93,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,584247
2.67,37,1,0,1,0,0.69,0.71,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),586887
3.43,25,1,0,1,0,0.67,0.6,0.07,Persuadable,0.64,Give Discount,589884
2.18,30,0,0,0,0,0.62,0.64,-0.02,Do Not Disturb,0.63,Avoid (Do Not Disturb),593672
0.25,21,0,0,0,0,0.01,0.0,0.0,Sure Thing,0.0,No Action,593833
0.48,55,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,600078
1.63,47,1,1,0,0,0.25,0.12,0.13,Persuadable,0.14,Give Discount,609051
1.77,23,0,0,0,1,0.16,0.14,0.02,Sure Thing,0.13,No Action,612562
3.32,46,0,1,1,0,0.7,0.69,0.01,Sure Thing,0.68,No Action,614748
1.15,29,0,1,0,0,0.1,0.04,0.06,Persuadable,0.05,Give Discount,616461
2.45,31,0,0,1,0,0.69,0.68,0.01,Sure Thing,0.67,No Action,617402
0.5,38,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,631388
2.17,47,1,1,1,0,0.6,0.62,-0.02,Sure Thing,0.61,Avoid (Do Not Disturb),632988
2.03,52,1,1,1,1,0.54,0.45,0.09,Persuadable,0.45,Give Discount,641537
0.38,34,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,646933
0.4,55,0,1,0,0,0.01,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),647804
0.38,36,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,650901
0.9,36,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,679611
1.6,64,0,0,0,1,0.19,0.12,0.06,Persuadable,0.13,Give Discount,683014
2.87,43,1,1,1,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),777846
3.3,48,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),347778
0.63,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,382533
3.07,37,1,0,1,0,0.68,0.71,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),404879
4.08,38,1,1,1,0,0.64,0.66,-0.02,Sure Thing,0.67,Avoid (Do Not Disturb),458762
1.2,18,0,0,0,0,0.07,0.08,-0.01,Sure Thing,0.08,Avoid (Do Not Disturb),487002
2.22,40,0,0,1,0,0.63,0.71,-0.08,Do Not Disturb,0.7,Avoid (Do Not Disturb),491930
2.37,42,0,0,1,1,0.7,0.72,-0.02,Do Not Disturb,0.71,No Discount (Sure Thing),512655
0.87,49,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,515004
0.38,50,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,518406
0.63,42,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,519726
0.4,41,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,521033
2.27,48,1,1,1,1,0.63,0.68,-0.05,Do Not Disturb,0.67,Avoid (Do Not Disturb),524251
2.3,30,0,1,1,0,0.64,0.66,-0.02,Sure Thing,0.64,Avoid (Do Not Disturb),527187
0.45,30,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,531959
5.45,52,1,0,1,0,0.67,0.66,0.01,Sure Thing,0.69,No Action,532063
1.28,33,0,1,1,0,0.21,0.12,0.1,Persuadable,0.13,Give Discount,532651
0.87,49,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,533117
3.07,58,1,1,0,0,0.49,0.56,-0.06,Do Not Disturb,0.53,Avoid (Do Not Disturb),533327
2.08,40,0,0,1,0,0.61,0.58,0.03,Sure Thing,0.58,No Action,534351
1.65,16,0,0,0,0,0.17,0.09,0.07,Persuadable,0.1,Give Discount,539304
0.52,36,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,539782
1.55,35,1,0,0,0,0.19,0.13,0.06,Persuadable,0.13,Give Discount,540857
1.47,71,1,0,1,0,0.16,0.17,-0.01,Sure Thing,0.17,Avoid (Do Not Disturb),541999
0.87,33,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,544425
2.62,32,0,1,1,0,0.68,0.66,0.02,Sure Thing,0.64,No Action,545375
4.55,30,0,0,1,1,0.67,0.62,0.06,Persuadable,0.66,Give Discount,546008
4.18,26,0,0,0,0,0.6,0.62,-0.02,Sure Thing,0.66,Avoid (Do Not Disturb),550202
3.15,46,1,1,1,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),550871
4.32,31,0,0,0,0,0.67,0.62,0.05,Sure Thing,0.66,No Action,551627
0.73,39,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.0,No Action,551967
0.35,37,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,554163
2.08,16,0,0,0,0,0.33,0.32,0.01,Sure Thing,0.34,No Action,555058
1.12,64,1,0,0,0,0.09,0.02,0.06,Persuadable,0.03,Give Discount,556673
0.4,59,1,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,No Action,561519
0.75,37,1,0,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,562148
2.9,28,0,1,1,0,0.66,0.67,-0.0,Sure Thing,0.64,Avoid (Do Not Disturb),564699
3.2,38,1,1,1,0,0.67,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),564713
2.33,42,0,1,1,0,0.69,0.69,-0.0,Sure Thing,0.68,Avoid (Do Not Disturb),567778
3.35,47,0,0,1,0,0.71,0.71,-0.0,Sure Thing,0.71,No Discount (Sure Thing),568713
4.72,37,0,0,1,0,0.68,0.67,0.01,Sure Thing,0.7,No Discount (Sure Thing),570219
1.83,39,0,1,0,0,0.25,0.14,0.1,Persuadable,0.15,Give Discount,571637
0.47,48,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,573946
2.83,50,1,0,1,0,0.7,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),581666
0.65,37,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,582484
0.7,33,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,583134
0.38,19,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,583190
2.35,30,0,0,1,0,0.68,0.68,0.01,Sure Thing,0.67,No Action,593672
0.33,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,603053
0.52,20,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,605776
2.58,52,1,0,1,0,0.7,0.71,-0.01,Sure Thing,0.7,No Discount (Sure Thing),610306
0.27,48,1,1,0,0,0.02,0.0,0.01,Sure Thing,0.01,No Action,612236
0.48,42,0,1,0,1,0.01,0.01,0.0,Sure Thing,0.01,No Action,613275
2.18,44,1,0,1,0,0.63,0.68,-0.05,Do Not Disturb,0.66,Avoid (Do Not Disturb),616795
0.38,37,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,623043
0.77,45,0,0,0,1,0.01,0.01,0.0,Sure Thing,0.0,No Action,623850
2.15,74,1,0,1,0,0.35,0.31,0.03,Sure Thing,0.29,No Action,641529
1.37,55,0,1,0,0,0.21,0.12,0.08,Persuadable,0.14,Give Discount,647804
1.37,68,1,0,0,0,0.14,0.13,0.01,Sure Thing,0.13,No Action,660821
1.33,37,0,0,0,0,0.15,0.11,0.04,Sure Thing,0.12,No Action,714565
0.78,41,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,374331
3.3,50,0,0,1,0,0.71,0.72,-0.01,Sure Thing,0.71,No Discount (Sure Thing),469824
1.87,48,1,1,0,0,0.24,0.19,0.06,Persuadable,0.18,Give Discount,499847
8.25,71,1,0,0,1,0.35,0.3,0.05,Sure Thing,0.28,No Action,500791
2.72,35,1,0,1,0,0.68,0.7,-0.02,Do Not Disturb,0.7,No Discount (Sure Thing),510078
2.35,49,1,0,1,0,0.68,0.71,-0.03,Do Not Disturb,0.7,No Discount (Sure Thing),511433
0.38,30,0,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,513408
0.95,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,515051
0.25,44,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,516290
0.65,40,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,516351
1.47,67,1,0,0,0,0.17,0.14,0.04,Sure Thing,0.13,No Action,516862
0.88,53,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,518044
2.75,48,1,1,1,0,0.68,0.68,-0.01,Sure Thing,0.67,Avoid (Do Not Disturb),520819
4.18,35,0,0,1,0,0.68,0.68,0.0,Sure Thing,0.7,No Discount (Sure Thing),521343
3.72,37,0,0,1,0,0.7,0.69,0.01,Sure Thing,0.71,No Discount (Sure Thing),521743
1.37,38,1,1,0,0,0.22,0.12,0.1,Persuadable,0.13,Give Discount,522086
2.55,28,0,0,1,0,0.69,0.68,0.01,Sure Thing,0.67,No Action,522237
2.43,41,0,0,1,1,0.7,0.72,-0.02,Do Not Disturb,0.71,No Discount (Sure Thing),523690
3.58,54,1,0,1,1,0.68,0.69,-0.01,Sure Thing,0.7,No Discount (Sure Thing),524043
4.25,40,1,0,1,0,0.66,0.67,-0.01,Sure Thing,0.7,Avoid (Do Not Disturb),525842
7.83,30,0,0,1,0,0.69,0.61,0.08,Persuadable,0.66,Give Discount,527150
2.18,51,0,0,1,0,0.64,0.68,-0.05,Do Not Disturb,0.66,Avoid (Do Not Disturb),528281
0.98,23,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,532710
4.5,44,1,0,1,0,0.67,0.66,0.0,Sure Thing,0.69,No Action,536843
1.48,32,1,1,0,0,0.27,0.13,0.14,Persuadable,0.14,Give Discount,540664
0.37,27,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,541040
0.85,38,0,1,0,0,0.01,0.01,0.0,Sure Thing,0.01,No Action,541061
1.72,32,0,0,0,0,0.17,0.12,0.05,Persuadable,0.13,Give Discount,541150
0.73,35,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,542194
1.33,34,0,1,1,0,0.2,0.12,0.08,Persuadable,0.13,Give Discount,543713
1.33,44,0,0,0,0,0.16,0.11,0.05,Persuadable,0.12,Give Discount,544640
1.33,43,0,0,0,0,0.16,0.11,0.05,Sure Thing,0.12,No Action,545634
0.72,44,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,547512
2.07,25,0,1,0,0,0.52,0.44,0.08,Persuadable,0.49,Give Discount,553245
1.22,39,0,1,0,0,0.1,0.1,-0.0,Sure Thing,0.1,Avoid (Do Not Disturb),559071
1.0,48,0,0,0,0,0.01,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),560888
2.2,51,0,1,0,0,0.61,0.68,-0.06,Do Not Disturb,0.67,Avoid (Do Not Disturb),561642
2.83,38,0,0,1,0,0.7,0.72,-0.02,Sure Thing,0.71,No Discount (Sure Thing),561864
0.62,45,1,0,0,0,0.01,0.01,0.0,Sure Thing,0.0,No Action,562886
1.27,45,0,0,0,0,0.17,0.1,0.06,Persuadable,0.11,Give Discount,565419
2.98,31,0,0,0,0,0.69,0.68,0.02,Sure Thing,0.67,No Action,565768
2.57,23,0,1,1,0,0.44,0.34,0.11,Persuadable,0.33,Give Discount,565826
0.97,16,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.0,No Action,567458
1.17,39,0,0,0,0,0.1,0.06,0.04,Sure Thing,0.07,No Action,569150
