session_duration,base_fare_usd,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,expected_value,decision,user_id
6.7,154.04,35,0,0,1,0,0.91,0.93,-0.01,Do Not Disturb,0.92,-16.44,No Discount (Sure Thing),525769
1.03,0.0,47,0,1,0,0,0.02,0.01,0.01,Sure Thing,0.01,-13.87,Low Priority,525804
1.83,0.0,44,0,0,0,0,0.23,0.12,0.11,Persuadable,0.13,-4.24,Low Priority,526235
0.73,0.0,36,1,1,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.65,Low Priority,526239
4.25,0.0,35,0,1,0,0,0.25,0.15,0.1,Persuadable,0.17,-4.6,Low Priority,526495
0.63,0.0,32,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.9,Low Priority,526711
0.87,0.0,36,0,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.11,Avoid (Do Not Disturb),526855
1.33,0.0,50,1,1,0,0,0.2,0.12,0.08,Sure Thing,0.14,-7.41,Low Priority,526858
0.98,0.0,56,1,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.63,Low Priority,526916
2.33,331.36,39,0,0,1,0,0.9,0.93,-0.03,Do Not Disturb,0.93,-17.74,No Discount (Sure Thing),527141
4.15,0.0,30,0,1,0,0,0.27,0.15,0.12,Persuadable,0.16,-2.73,Low Priority,527187
0.5,0.0,16,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),527321
0.25,0.0,26,1,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.64,Low Priority,527455
2.62,338.83,52,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.02,No Discount (Sure Thing),527508
3.98,363.2,30,0,0,1,1,0.91,0.92,-0.01,Do Not Disturb,0.92,-16.0,No Discount (Sure Thing),528248
0.38,0.0,46,1,1,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.47,Low Priority,528330
1.08,0.0,39,0,0,0,0,0.05,0.03,0.02,Sure Thing,0.03,-13.29,Low Priority,528661
4.45,659.01,50,0,0,1,0,0.91,0.93,-0.01,Do Not Disturb,0.92,-16.34,No Discount (Sure Thing),528743
3.43,695.84,40,0,0,1,0,0.91,0.93,-0.01,Do Not Disturb,0.93,-16.19,No Discount (Sure Thing),528828
0.13,0.0,16,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),528909
1.93,0.0,18,0,0,0,1,0.18,0.12,0.06,Sure Thing,0.12,-8.51,Low Priority,528967
2.1,509.74,43,1,0,0,0,0.87,0.89,-0.02,Do Not Disturb,0.89,-16.9,No Discount (Sure Thing),528999
1.35,0.0,37,0,0,0,1,0.2,0.12,0.07,Sure Thing,0.13,-7.6,Low Priority,529205
1.27,0.0,24,0,0,0,0,0.16,0.12,0.04,Sure Thing,0.12,-10.74,Low Priority,529284
4.33,684.67,31,0,0,1,0,0.91,0.92,-0.01,Do Not Disturb,0.92,-16.32,No Discount (Sure Thing),529332
0.27,0.0,39,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,529338
1.97,397.55,39,0,0,1,0,0.64,0.7,-0.06,Do Not Disturb,0.68,-21.36,Avoid (Do Not Disturb),529406
1.48,0.0,73,1,0,0,0,0.18,0.15,0.03,Sure Thing,0.15,-11.76,Low Priority,529420
6.62,720.22,54,1,0,0,0,0.89,0.93,-0.03,Do Not Disturb,0.92,-18.43,No Discount (Sure Thing),529422
2.08,0.0,48,1,1,0,0,0.22,0.14,0.08,Persuadable,0.16,-6.82,Low Priority,529424
1.48,0.0,42,0,1,0,0,0.24,0.12,0.12,Persuadable,0.14,-2.9,Low Priority,529428
2.1,139.45,45,0,0,1,0,0.88,0.91,-0.03,Do Not Disturb,0.89,-17.58,No Discount (Sure Thing),529436
2.37,311.53,47,1,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-17.3,No Discount (Sure Thing),529501
0.98,0.0,42,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-15.0,Low Priority,529510
1.05,0.0,39,0,1,0,0,0.02,0.02,-0.0,Lost Cause,0.02,-15.46,Avoid (Do Not Disturb),529566
1.77,0.0,66,1,0,1,0,0.22,0.13,0.09,Persuadable,0.14,-6.15,Low Priority,529704
3.13,443.45,37,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.99,No Discount (Sure Thing),529734
2.63,0.0,45,1,0,0,0,0.24,0.15,0.09,Persuadable,0.18,-6.3,Low Priority,529737
1.55,0.0,42,1,0,0,0,0.23,0.13,0.1,Persuadable,0.14,-4.58,Low Priority,529768
0.38,0.0,67,1,0,0,0,0.03,0.01,0.02,Sure Thing,0.01,-13.05,Low Priority,529857
8.28,0.0,36,0,0,0,0,0.26,0.14,0.12,Persuadable,0.18,-3.33,Low Priority,529879
0.35,0.0,37,0,1,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.84,Low Priority,529887
0.72,0.0,54,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.45,Low Priority,529972
4.82,331.07,40,0,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-16.6,No Discount (Sure Thing),530039
2.1,0.0,41,0,0,0,0,0.23,0.14,0.09,Persuadable,0.16,-6.28,Low Priority,530118
1.92,0.0,36,0,0,0,0,0.21,0.14,0.07,Sure Thing,0.14,-7.57,Low Priority,530188
0.67,0.0,39,1,0,0,0,0.01,0.0,0.0,Sure Thing,0.01,-14.53,Low Priority,530223
1.78,0.0,45,0,1,0,0,0.24,0.12,0.12,Persuadable,0.14,-3.3,Low Priority,530240
4.08,154.37,45,0,1,1,0,0.9,0.92,-0.02,Do Not Disturb,0.92,-16.75,No Discount (Sure Thing),530277
2.6,273.64,53,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.82,No Discount (Sure Thing),530278
3.93,0.0,37,0,0,1,0,0.24,0.16,0.08,Persuadable,0.18,-7.07,Low Priority,530282
1.42,0.0,34,0,1,1,1,0.23,0.12,0.11,Persuadable,0.13,-4.1,Low Priority,530298
0.87,0.0,55,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.71,Low Priority,530315
0.6,0.0,44,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.72,Low Priority,530322
10.03,0.0,50,1,1,0,0,0.27,0.14,0.13,Persuadable,0.17,-1.55,Low Priority,530329
2.58,326.76,49,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.01,No Discount (Sure Thing),530365
1.0,0.0,30,1,1,0,1,0.01,0.01,0.0,Sure Thing,0.01,-14.56,Low Priority,530371
0.62,0.0,31,1,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.2,Avoid (Do Not Disturb),530374
1.9,0.0,42,1,0,0,0,0.24,0.13,0.11,Persuadable,0.15,-3.8,Low Priority,530379
1.08,0.0,42,1,0,0,0,0.09,0.03,0.06,Sure Thing,0.04,-9.24,Low Priority,530385
1.85,0.0,43,0,0,0,0,0.24,0.13,0.11,Persuadable,0.14,-4.02,Low Priority,530427
0.23,0.0,51,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.41,Low Priority,530514
0.87,0.0,37,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.84,Low Priority,530543
5.03,0.0,45,0,0,0,0,0.26,0.14,0.12,Persuadable,0.17,-2.58,Low Priority,530585
0.38,0.0,23,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.67,Low Priority,530592
1.12,0.0,26,0,0,0,0,0.1,0.03,0.07,Sure Thing,0.03,-8.24,Low Priority,530607
2.15,0.0,62,1,0,0,0,0.22,0.16,0.06,Sure Thing,0.16,-8.91,Low Priority,530633
3.33,310.1,28,0,0,1,0,0.93,0.92,0.01,Sure Thing,0.93,-13.78,No Discount (Sure Thing),530666
1.75,0.0,38,1,1,1,1,0.25,0.14,0.11,Persuadable,0.16,-3.63,Low Priority,530667
2.25,0.0,58,0,0,0,0,0.24,0.15,0.1,Persuadable,0.17,-5.25,Low Priority,530672
0.83,0.0,58,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.5,Low Priority,530673
2.47,652.77,48,1,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.92,-16.91,No Discount (Sure Thing),530687
1.38,0.0,47,0,0,0,0,0.21,0.12,0.09,Persuadable,0.13,-5.84,Low Priority,530719
3.03,573.5,41,1,0,1,1,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.49,No Discount (Sure Thing),530720
2.12,0.0,44,1,1,0,0,0.22,0.15,0.07,Sure Thing,0.16,-7.6,Low Priority,530773
2.62,559.06,49,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.96,No Discount (Sure Thing),530775
0.25,0.0,42,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,530801
4.02,225.13,38,1,0,1,0,0.91,0.92,-0.01,Do Not Disturb,0.93,-16.03,No Discount (Sure Thing),530810
4.95,0.0,47,1,1,0,0,0.23,0.14,0.09,Persuadable,0.17,-6.13,Low Priority,530833
1.13,0.0,32,0,1,0,0,0.08,0.03,0.06,Sure Thing,0.03,-9.38,Low Priority,530869
1.57,0.0,19,0,1,0,0,0.22,0.12,0.1,Persuadable,0.12,-4.59,Low Priority,530873
1.4,0.0,35,0,1,0,0,0.23,0.12,0.1,Persuadable,0.14,-4.67,Low Priority,530881
1.07,0.0,53,1,0,0,0,0.11,0.02,0.09,Persuadable,0.04,-5.66,Low Priority,530978
2.32,0.0,44,1,1,0,0,0.23,0.16,0.07,Sure Thing,0.17,-8.15,Low Priority,106907
5.02,192.38,37,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.05,No Discount (Sure Thing),299476
0.42,0.0,38,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.87,Low Priority,353694
3.2,393.91,40,1,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-17.16,No Discount (Sure Thing),361459
1.68,0.0,41,0,0,1,0,0.22,0.12,0.1,Persuadable,0.13,-4.87,Low Priority,374331
0.5,0.0,40,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.8,Low Priority,376159
2.65,228.63,55,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.69,No Discount (Sure Thing),382384
0.25,0.0,42,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.37,Low Priority,399218
1.23,0.0,34,0,1,0,0,0.12,0.11,0.01,Sure Thing,0.12,-13.98,Low Priority,431912
16.2,67.78,50,1,0,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.57,No Discount (Sure Thing),435882
0.7,0.0,48,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.83,Low Priority,438839
1.88,335.69,46,0,0,0,0,0.17,0.32,-0.16,Do Not Disturb,0.28,-30.58,Avoid (Do Not Disturb),441982
1.37,0.0,31,0,0,0,0,0.21,0.12,0.08,Persuadable,0.13,-6.77,Low Priority,452532
0.25,0.0,36,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.65,Low Priority,456663
2.22,324.0,31,0,0,1,0,0.88,0.92,-0.04,Do Not Disturb,0.92,-19.14,No Discount (Sure Thing),458814
1.43,0.0,49,0,0,0,0,0.22,0.12,0.1,Persuadable,0.13,-4.91,Low Priority,463783
0.72,0.0,69,1,0,0,0,0.02,0.0,0.01,Sure Thing,0.01,-13.63,Low Priority,464080
2.28,0.0,48,1,0,0,0,0.24,0.15,0.08,Persuadable,0.18,-6.72,Low Priority,468409
1.0,0.0,36,1,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.88,Low Priority,468832
2.52,203.41,30,0,0,1,0,0.91,0.93,-0.01,Do Not Disturb,0.93,-16.41,No Discount (Sure Thing),475060
0.52,0.0,32,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.64,Low Priority,485891
0.63,0.0,48,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.38,Low Priority,486751
0.98,0.0,56,1,1,0,1,0.01,0.01,0.0,Sure Thing,0.01,-14.53,Low Priority,488870
0.4,0.0,36,0,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.11,Avoid (Do Not Disturb),490348
1.4,506.53,53,1,1,0,1,0.08,0.13,-0.04,Do Not Disturb,0.12,-19.29,Avoid (Do Not Disturb),495386
0.27,0.0,41,1,0,0,1,0.01,0.0,0.01,Sure Thing,0.01,-14.37,Low Priority,497678
0.78,0.0,47,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.86,Low Priority,499366
0.77,0.0,48,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.38,Low Priority,499979
1.43,683.47,44,1,0,0,0,0.09,0.12,-0.03,Do Not Disturb,0.05,-18.4,Avoid (Do Not Disturb),500828
0.5,0.0,40,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.38,Low Priority,500972
2.85,236.83,49,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.88,No Discount (Sure Thing),502609
3.77,384.56,36,1,1,1,0,0.91,0.93,-0.01,Do Not Disturb,0.93,-16.46,No Discount (Sure Thing),502626
3.78,204.6,49,1,1,1,0,0.91,0.92,-0.01,Do Not Disturb,0.93,-16.07,No Discount (Sure Thing),505941
3.02,492.66,37,1,0,0,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.0,No Discount (Sure Thing),506234
0.5,0.0,24,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,-14.52,Low Priority,506990
0.25,0.0,35,0,0,0,1,0.0,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),507431
0.52,0.0,16,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),507513
0.62,0.0,23,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.67,Low Priority,507531
3.5,111.79,39,0,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.83,No Discount (Sure Thing),510707
2.1,422.57,40,1,1,1,0,0.88,0.9,-0.02,Do Not Disturb,0.89,-16.61,No Discount (Sure Thing),511142
0.47,0.0,20,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.4,Low Priority,512148
3.17,154.99,53,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.88,No Discount (Sure Thing),512204
1.02,0.0,29,1,1,0,1,0.01,0.01,-0.0,Lost Cause,0.01,-15.06,Avoid (Do Not Disturb),512704
2.63,99.55,36,1,1,1,1,0.91,0.93,-0.02,Do Not Disturb,0.93,-16.87,No Discount (Sure Thing),512846
2.02,0.0,30,0,1,0,0,0.24,0.15,0.08,Persuadable,0.15,-6.57,Low Priority,513103
1.9,0.0,30,0,0,0,1,0.22,0.13,0.09,Persuadable,0.15,-5.63,Low Priority,513221
2.8,671.72,50,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.92,No Discount (Sure Thing),513322
0.88,0.0,48,1,1,0,0,0.01,0.0,0.0,Sure Thing,0.01,-14.54,Low Priority,513347
2.55,202.43,30,0,1,1,0,0.9,0.93,-0.03,Do Not Disturb,0.93,-17.64,No Discount (Sure Thing),513408
3.23,0.0,43,1,1,0,1,0.23,0.15,0.07,Sure Thing,0.17,-7.58,Low Priority,514867
2.38,0.0,16,0,0,0,0,0.22,0.14,0.08,Persuadable,0.14,-6.67,Low Priority,514931
0.75,0.0,49,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.61,Low Priority,515004
3.37,0.0,45,1,0,0,0,0.24,0.16,0.09,Persuadable,0.18,-6.27,Low Priority,515051
2.97,683.67,47,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.04,No Discount (Sure Thing),515344
1.73,62.7,35,1,0,0,0,0.08,0.14,-0.06,Do Not Disturb,0.07,-21.24,Avoid (Do Not Disturb),515645
1.15,0.0,62,1,1,0,0,0.09,0.03,0.06,Sure Thing,0.04,-9.06,Low Priority,515735
1.7,0.0,31,0,1,0,1,0.24,0.13,0.11,Persuadable,0.14,-3.93,Low Priority,516243
0.5,0.0,51,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.41,Low Priority,516694
2.83,794.63,18,0,1,1,0,0.89,0.89,0.0,Lost Cause,0.88,-14.59,No Discount (Sure Thing),516841
0.52,0.0,24,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.68,Low Priority,516967
0.75,0.0,29,0,0,0,0,0.01,0.01,0.0,Sure Thing,0.01,-14.54,Low Priority,517674
2.4,0.0,53,1,1,1,0,0.23,0.15,0.07,Sure Thing,0.17,-7.83,Low Priority,518044
3.32,424.43,43,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.26,No Discount (Sure Thing),518092
1.58,0.0,31,0,0,0,0,0.21,0.13,0.09,Persuadable,0.13,-6.16,Low Priority,518121
3.28,521.13,29,0,0,1,0,0.92,0.92,-0.0,Lost Cause,0.93,-15.07,No Discount (Sure Thing),518372
2.2,0.0,39,0,0,0,0,0.24,0.15,0.08,Persuadable,0.18,-6.88,Low Priority,518694
1.67,0.0,25,1,1,0,0,0.28,0.14,0.15,Persuadable,0.16,-0.31,Low Priority,519248
1.02,0.0,70,1,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,-13.84,Low Priority,519561
0.5,0.0,34,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.94,Low Priority,520054
1.92,0.0,46,1,1,0,0,0.24,0.14,0.11,Persuadable,0.15,-4.47,Low Priority,520152
2.83,324.17,50,1,1,1,0,0.9,0.93,-0.03,Do Not Disturb,0.92,-17.57,No Discount (Sure Thing),520429
1.88,0.0,48,1,1,0,1,0.24,0.13,0.1,Persuadable,0.15,-4.98,Low Priority,520819
0.75,0.0,37,0,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),520902
1.38,0.0,44,1,0,0,0,0.21,0.12,0.08,Persuadable,0.13,-6.5,Low Priority,521152
0.77,0.0,52,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.74,Low Priority,521186
0.62,0.0,73,1,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,-13.98,Low Priority,521187
1.0,0.0,33,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.11,Avoid (Do Not Disturb),521663
2.43,380.85,49,0,0,1,1,0.92,0.93,-0.01,Do Not Disturb,0.92,-16.29,No Discount (Sure Thing),522375
0.62,0.0,47,1,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,-14.42,Low Priority,522788
0.52,0.0,34,1,0,0,0,0.0,0.0,-0.0,Lost Cause,0.01,-15.08,Avoid (Do Not Disturb),522999
3.18,85.07,33,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.11,No Discount (Sure Thing),523290
2.7,432.57,37,0,1,1,0,0.91,0.93,-0.02,Do Not Disturb,0.93,-17.35,No Discount (Sure Thing),523301
2.08,0.0,69,1,0,0,0,0.23,0.13,0.1,Persuadable,0.15,-4.97,Low Priority,523503
3.07,808.25,52,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.83,No Discount (Sure Thing),523666
0.47,0.0,23,0,0,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.67,Low Priority,523746
1.1,0.0,34,0,1,1,0,0.05,0.04,0.01,Sure Thing,0.04,-13.84,Low Priority,523771
1.08,0.0,52,1,1,0,1,0.08,0.02,0.06,Sure Thing,0.03,-9.22,Low Priority,523807
0.15,0.0,22,0,0,0,1,0.01,0.01,0.01,Sure Thing,0.01,-14.35,Low Priority,523887
5.08,0.0,32,0,0,0,0,0.26,0.14,0.12,Persuadable,0.16,-2.84,Low Priority,524383
0.48,0.0,73,1,0,0,0,0.02,0.01,0.01,Sure Thing,0.01,-13.98,Low Priority,524419
1.47,0.0,29,0,1,0,0,0.26,0.12,0.13,Persuadable,0.14,-1.66,Low Priority,524797
2.52,0.0,25,1,1,1,0,0.26,0.17,0.09,Persuadable,0.17,-5.62,Low Priority,524940
3.8,0.0,34,0,0,0,0,0.25,0.16,0.09,Persuadable,0.16,-6.34,Low Priority,525106
13.28,0.0,69,0,0,0,0,0.36,0.37,-0.0,Lost Cause,0.28,-15.4,Avoid (Do Not Disturb),525176
0.63,0.0,27,0,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.97,Low Priority,525488
1.45,0.0,57,1,1,1,0,0.19,0.14,0.05,Sure Thing,0.15,-10.28,Low Priority,525848
0.63,0.0,30,0,0,0,1,0.01,0.01,0.01,Sure Thing,0.01,-14.34,Low Priority,527150
0.15,0.0,35,1,1,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.64,Low Priority,527359
1.02,0.0,16,0,1,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.48,Avoid (Do Not Disturb),527365
0.13,0.0,26,1,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.64,Low Priority,527455
3.48,742.94,28,0,0,1,0,0.93,0.92,0.01,Sure Thing,0.93,-14.12,No Discount (Sure Thing),527690
0.4,0.0,42,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.37,Low Priority,527750
0.52,0.0,68,1,0,0,1,0.02,0.0,0.02,Sure Thing,0.01,-12.98,Low Priority,528413
0.62,0.0,32,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.9,Low Priority,528688
0.4,0.0,45,1,0,0,1,0.01,0.01,0.0,Lost Cause,0.01,-14.61,Low Priority,528706
1.52,0.0,45,1,0,0,0,0.23,0.13,0.11,Persuadable,0.14,-4.2,Low Priority,529737
1.92,0.0,67,1,0,0,0,0.26,0.14,0.12,Persuadable,0.15,-3.4,Low Priority,529857
0.98,0.0,41,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.17,Avoid (Do Not Disturb),530118
3.18,331.85,39,1,0,1,1,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.41,No Discount (Sure Thing),530223
1.58,0.0,45,0,0,1,0,0.23,0.12,0.11,Persuadable,0.13,-4.13,Low Priority,530585
1.85,0.0,58,0,0,0,0,0.22,0.12,0.1,Persuadable,0.13,-5.33,Low Priority,530672
6.23,0.0,58,1,1,0,1,0.23,0.14,0.1,Persuadable,0.16,-5.36,Low Priority,530673
3.53,416.05,53,1,0,1,0,0.92,0.93,-0.01,Lost Cause,0.93,-15.54,No Discount (Sure Thing),530978
0.23,0.0,44,1,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.43,Low Priority,531027
0.27,0.0,78,1,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.26,Low Priority,531031
3.8,283.22,39,0,0,1,1,0.92,0.92,-0.01,Do Not Disturb,0.92,-15.8,No Discount (Sure Thing),531054
1.12,0.0,31,0,0,0,0,0.09,0.03,0.06,Sure Thing,0.03,-9.35,Low Priority,531073
1.97,0.0,54,1,1,0,0,0.22,0.17,0.05,Sure Thing,0.15,-10.0,Low Priority,531144
1.25,0.0,39,0,0,0,0,0.12,0.12,0.0,Lost Cause,0.12,-14.8,Low Priority,531158
2.22,0.0,50,1,1,0,0,0.24,0.16,0.08,Sure Thing,0.17,-7.37,Low Priority,531253
1.5,0.0,35,1,1,0,0,0.24,0.14,0.11,Persuadable,0.15,-4.49,Low Priority,531255
2.13,347.8,54,1,0,0,0,0.89,0.89,-0.01,Do Not Disturb,0.89,-15.88,No Discount (Sure Thing),531447
0.48,0.0,17,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.15,Avoid (Do Not Disturb),531456
4.28,965.93,32,0,0,1,1,0.91,0.92,-0.01,Do Not Disturb,0.92,-16.49,No Discount (Sure Thing),531467
0.88,0.0,16,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),531475
2.88,0.0,77,1,0,1,0,0.35,0.16,0.19,Persuadable,0.16,4.3,Give Discount,531500
2.68,266.22,39,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-16.34,No Discount (Sure Thing),531568
2.05,0.0,19,0,1,0,1,0.21,0.13,0.08,Persuadable,0.14,-6.52,Low Priority,531615
0.7,0.0,46,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.88,Low Priority,531654
3.73,656.21,54,1,0,1,0,0.92,0.93,-0.0,Lost Cause,0.93,-15.5,No Discount (Sure Thing),531670
1.13,0.0,20,0,0,0,0,0.09,0.04,0.05,Sure Thing,0.05,-9.97,Low Priority,531735
2.13,260.79,37,0,0,1,0,0.87,0.9,-0.03,Do Not Disturb,0.89,-17.87,No Discount (Sure Thing),531739
2.5,569.04,52,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.9,No Discount (Sure Thing),531744
0.52,0.0,22,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.35,Low Priority,531745
1.22,0.0,37,0,0,0,0,0.1,0.12,-0.02,Do Not Disturb,0.12,-16.92,Avoid (Do Not Disturb),531777
0.23,0.0,69,0,0,0,1,0.01,0.0,0.01,Sure Thing,0.01,-13.94,Low Priority,531795
0.62,0.0,22,0,0,0,0,0.01,0.01,0.01,Sure Thing,0.01,-14.35,Low Priority,531803
1.27,0.0,36,0,0,0,1,0.18,0.12,0.06,Sure Thing,0.13,-9.32,Low Priority,531807
0.37,0.0,17,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.15,Avoid (Do Not Disturb),531834
3.4,110.09,19,0,0,1,0,0.86,0.89,-0.03,Do Not Disturb,0.9,-18.08,No Discount (Sure Thing),531857
3.67,122.54,44,0,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.94,No Discount (Sure Thing),531921
1.23,0.0,27,0,0,0,0,0.11,0.12,-0.01,Do Not Disturb,0.13,-15.6,Avoid (Do Not Disturb),531926
0.25,0.0,38,0,0,0,0,0.01,0.01,-0.0,Lost Cause,0.01,-15.01,Avoid (Do Not Disturb),531931
1.65,0.0,30,0,0,0,1,0.22,0.13,0.09,Persuadable,0.14,-5.74,Low Priority,531959
2.32,0.0,57,1,1,0,0,0.21,0.15,0.06,Sure Thing,0.16,-8.84,Low Priority,531971
2.0,603.96,42,1,0,1,0,0.75,0.82,-0.07,Do Not Disturb,0.82,-22.13,No Discount (Sure Thing),531994
2.8,138.79,52,1,0,1,0,0.93,0.93,-0.0,Lost Cause,0.93,-15.34,No Discount (Sure Thing),532063
0.13,0.0,25,0,0,0,0,0.01,0.01,0.0,Lost Cause,0.01,-14.69,Low Priority,532101
3.55,102.89,51,1,0,1,0,0.93,0.93,-0.0,Lost Cause,0.93,-15.16,No Discount (Sure Thing),532119
3.15,245.73,48,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.85,No Discount (Sure Thing),532215
1.12,0.0,40,0,1,0,0,0.1,0.03,0.08,Persuadable,0.03,-7.23,Low Priority,532258
3.55,384.53,54,1,1,1,0,0.91,0.93,-0.01,Do Not Disturb,0.93,-16.39,No Discount (Sure Thing),532259
3.65,0.0,16,0,0,0,0,0.22,0.13,0.09,Persuadable,0.14,-5.75,Low Priority,532279
2.37,115.46,44,1,0,1,0,0.92,0.93,-0.01,Do Not Disturb,0.93,-15.96,No Discount (Sure Thing),532312
2.12,0.0,44,0,0,1,0,0.24,0.14,0.1,Persuadable,0.16,-5.12,Low Priority,532361
0.4,0.0,37,0,0,0,0,0.0,0.01,-0.0,Lost Cause,0.01,-15.1,Avoid (Do Not Disturb),532387
