session_duration,page_clicks,base_fare_usd,age,married,has_children,hotel_booked,hotel_discount,p_treat,p_control,uplift,uplift_segment,p_book,decision,expected_value,user_id
4.83,39,387.63,44,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.6,544640
3.32,27,11.29,37,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.21,548967
3.22,26,311.07,49,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,559324
2.45,20,299.72,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,566008
4.92,40,37.39,36,0,1,1,0,0.91,0.95,-0.04,Do Not Disturb,0.94,No Discount (Sure Thing),94.87,570021
3.52,28,347.8,35,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.9,573420
2.37,19,191.63,42,1,0,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.12,575299
2.33,19,182.76,38,0,0,1,0,0.92,0.95,-0.03,Do Not Disturb,0.95,No Discount (Sure Thing),95.11,581835
3.43,28,734.24,33,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.82,585722
2.38,19,2117.65,79,0,0,1,1,0.88,0.77,0.11,Persuadable,0.84,No Discount (Sure Thing),77.31,592403
1.58,13,992.35,20,0,0,0,0,0.01,0.0,0.01,Sure Thing,0.01,No Action,0.03,605776
4.7,38,142.61,46,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.82,623949
6.03,49,3099.71,34,1,0,1,0,0.86,0.77,0.09,Persuadable,0.87,No Discount (Sure Thing),76.6,646933
2.42,19,133.4,44,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.14,651201
2.73,22,983.32,52,0,1,1,0,0.93,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.81,651613
3.6,29,231.75,52,1,0,1,0,0.94,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.92,670626
8.55,69,869.34,34,1,0,1,0,0.94,0.94,0.0,Sure Thing,0.94,No Discount (Sure Thing),93.57,510686
2.7,22,342.34,42,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,521031
2.55,20,150.24,44,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.16,525671
3.37,27,406.27,19,0,1,0,0,0.95,0.9,0.05,Persuadable,0.93,No Discount (Sure Thing),89.96,531615
2.33,19,4267.55,38,0,1,0,0,0.83,0.72,0.11,Persuadable,0.75,No Discount (Sure Thing),72.04,532500
1.43,11,197.51,44,0,0,0,0,0.0,0.0,0.0,Sure Thing,0.0,No Action,0.07,534840
2.38,19,882.11,46,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.83,536489
3.07,25,598.69,47,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,538976
2.87,23,595.43,56,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.09,549202
2.57,21,452.83,46,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,553773
2.25,18,110.91,47,0,0,1,0,0.86,0.94,-0.08,Do Not Disturb,0.93,No Discount (Sure Thing),93.71,568713
3.7,30,400.28,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.92,576612
2.82,23,221.06,35,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.09,594406
6.07,49,423.34,45,0,1,1,0,0.93,0.94,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.31,605494
3.35,26,522.35,53,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.93,613874
2.63,22,138.94,40,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.17,642679
1.58,13,1392.18,43,0,0,0,1,0.02,0.0,0.01,Sure Thing,0.0,No Action,0.17,647597
3.15,26,686.38,46,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.9,486366
2.3,18,256.62,28,1,0,1,0,0.89,0.95,-0.06,Do Not Disturb,0.94,No Discount (Sure Thing),94.64,510215
1.47,12,1392.4,46,0,1,0,0,0.01,0.01,0.01,Sure Thing,0.01,No Action,0.65,511331
2.05,17,391.47,43,0,0,0,0,0.88,0.9,-0.02,Do Not Disturb,0.89,No Discount (Sure Thing),89.9,522402
2.28,18,1011.15,55,0,0,1,0,0.87,0.95,-0.08,Do Not Disturb,0.93,No Discount (Sure Thing),94.61,524180
3.42,28,54.55,45,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.25,530277
2.77,22,737.03,39,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.97,531158
2.38,19,668.27,35,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.94,534747
13.65,111,1246.55,35,0,0,1,0,0.96,0.94,0.03,Sure Thing,0.94,No Discount (Sure Thing),93.61,535024
2.68,21,647.37,48,0,0,1,0,0.94,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.98,546072
3.02,24,321.84,47,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,546509
2.97,24,227.17,42,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.13,547325
2.83,23,182.99,39,0,0,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.11,547664
1.15,9,80.03,51,1,0,0,1,0.04,0.0,0.04,Sure Thing,0.02,No Action,0.25,559148
3.52,29,1504.95,43,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.63,560803
3.13,25,615.91,51,0,0,1,0,0.95,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.97,566875
4.58,37,305.56,53,1,1,1,1,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.59,570291
3.38,27,849.03,43,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.82,583764
2.5,20,650.84,47,1,1,1,1,0.94,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.76,589630
1.73,14,192.18,25,1,0,0,0,0.02,0.02,-0.0,Sure Thing,0.02,Avoid (Do Not Disturb),2.44,589884
5.92,47,130.11,46,0,1,1,0,0.92,0.95,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.54,593350
1.23,10,160.55,37,0,0,0,0,0.02,0.0,0.02,Sure Thing,0.01,No Action,0.07,598911
4.85,39,529.93,37,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.57,600018
1.48,12,1431.75,30,0,0,0,0,0.02,0.0,0.02,Sure Thing,0.01,No Action,0.07,600842
2.78,22,454.88,37,0,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.98,605945
1.47,12,322.25,57,1,0,0,1,0.03,0.0,0.03,Sure Thing,0.0,No Action,0.17,608478
1.7,14,1900.62,22,0,1,0,0,0.04,0.01,0.04,Sure Thing,0.0,No Action,0.73,686509
4.52,37,404.87,36,1,0,1,0,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.61,484418
2.25,18,181.69,41,0,0,1,0,0.88,0.94,-0.06,Do Not Disturb,0.93,No Discount (Sure Thing),93.64,487453
2.95,24,68.16,43,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,505713
1.58,13,1491.55,39,1,0,0,0,0.02,0.0,0.02,Sure Thing,0.0,No Action,0.16,512826
2.53,20,127.73,31,0,0,1,0,0.92,0.95,-0.03,Do Not Disturb,0.95,No Discount (Sure Thing),94.94,518121
5.07,41,396.37,43,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.56,519532
2.42,20,533.55,40,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.98,534351
4.33,36,61.91,40,0,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.8,536951
5.18,42,333.46,55,1,0,0,1,0.92,0.94,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.43,542482
2.87,23,159.23,44,1,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.16,547512
2.78,23,414.31,44,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,549292
2.87,23,508.78,43,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,567432
2.23,18,447.55,47,1,1,0,0,0.9,0.93,-0.04,Do Not Disturb,0.92,No Discount (Sure Thing),93.31,573719
3.3,27,450.93,48,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.0,573946
2.25,18,267.23,49,1,1,1,0,0.88,0.93,-0.05,Do Not Disturb,0.92,No Discount (Sure Thing),93.29,579065
3.77,31,211.59,45,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.08,585585
1.62,13,321.19,32,0,0,0,1,0.01,0.0,0.01,Sure Thing,0.01,No Action,0.03,619432
2.35,19,473.47,34,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.95,622248
2.2,18,1414.79,48,0,0,1,1,0.86,0.93,-0.07,Do Not Disturb,0.93,No Discount (Sure Thing),93.47,640715
3.15,25,1389.1,37,1,0,0,0,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.68,724581
2.98,24,123.91,42,1,1,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),95.17,408551
3.22,26,199.6,40,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,436894
5.1,41,379.69,45,1,1,0,1,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.53,441205
2.28,18,575.87,31,0,0,0,1,0.85,0.94,-0.09,Do Not Disturb,0.93,No Discount (Sure Thing),94.48,461559
4.28,34,156.59,49,0,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.75,476270
2.27,18,177.34,16,0,0,1,0,0.87,0.93,-0.05,Do Not Disturb,0.93,No Discount (Sure Thing),92.96,483982
3.3,27,362.63,42,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,499375
4.07,33,227.15,40,0,0,1,0,0.92,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.82,510836
2.1,17,98.76,42,0,0,1,0,0.88,0.91,-0.03,Do Not Disturb,0.91,No Discount (Sure Thing),90.94,514370
2.37,19,560.04,37,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,514980
3.02,24,267.0,48,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,517847
2.45,20,382.0,31,0,0,0,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.83,524606
1.87,15,175.94,35,0,0,0,0,0.19,0.24,-0.05,Do Not Disturb,0.2,Avoid (Do Not Disturb),23.9,525769
2.67,21,506.24,30,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.83,527150
2.7,22,428.3,36,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.97,530188
3.67,29,529.07,30,0,0,0,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.8,531959
13.13,106,81.13,47,1,0,1,0,0.97,0.94,0.03,Sure Thing,0.95,No Discount (Sure Thing),93.83,537413
2.58,21,547.5,37,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,538319
2.25,18,127.88,32,0,0,1,1,0.86,0.94,-0.08,Do Not Disturb,0.93,No Discount (Sure Thing),93.57,543668
1.85,15,398.73,36,0,0,0,0,0.24,0.34,-0.1,Do Not Disturb,0.29,Avoid (Do Not Disturb),34.37,548504
4.67,38,334.0,43,1,0,1,0,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.63,558270
8.77,70,394.27,61,1,0,1,1,0.94,0.91,0.03,Sure Thing,0.94,No Discount (Sure Thing),91.37,558988
2.47,20,535.16,47,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,573249
2.8,23,1017.6,48,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.86,575051
2.12,17,521.81,26,0,0,1,0,0.9,0.88,0.01,Sure Thing,0.9,No Discount (Sure Thing),88.49,576040
2.57,21,297.15,45,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,606161
2.17,18,1433.59,36,0,0,1,0,0.83,0.93,-0.1,Do Not Disturb,0.92,No Discount (Sure Thing),93.11,609262
3.55,29,166.38,43,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.1,617506
3.7,30,204.52,62,1,0,1,0,0.95,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.63,618881
3.15,26,787.72,49,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.85,632316
4.62,37,415.32,47,1,1,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.63,632988
7.93,64,442.75,49,1,0,0,0,0.95,0.94,0.01,Sure Thing,0.94,No Discount (Sure Thing),93.94,640849
2.23,17,1500.93,36,1,1,1,0,0.83,0.9,-0.07,Do Not Disturb,0.89,No Discount (Sure Thing),89.81,672468
1.43,11,662.53,44,0,0,0,0,0.01,0.0,0.0,Sure Thing,0.0,No Action,0.07,735029
4.17,34,904.65,59,0,1,1,0,0.92,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.69,768291
2.32,19,67.15,44,0,0,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.11,380949
10.75,87,613.9,55,0,0,1,0,0.9,0.94,-0.04,Do Not Disturb,0.94,No Discount (Sure Thing),94.04,465731
2.77,22,203.57,34,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.14,475467
2.58,21,365.55,48,1,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,486751
3.25,26,454.86,30,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.88,499633
2.1,17,1201.63,33,0,0,1,0,0.85,0.89,-0.04,Do Not Disturb,0.9,No Discount (Sure Thing),89.26,518743
2.43,20,489.32,40,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.96,521127
2.65,21,55.45,40,0,1,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.23,524167
3.37,27,120.39,52,0,0,1,0,0.95,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),95.01,526409
2.58,21,225.58,40,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.09,528061
2.28,18,1660.01,48,0,0,1,0,0.87,0.94,-0.07,Do Not Disturb,0.93,No Discount (Sure Thing),94.08,538279
2.57,20,4194.38,28,1,0,1,0,0.81,0.76,0.06,Persuadable,0.76,No Discount (Sure Thing),75.77,549058
3.33,27,369.26,41,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.93,549482
3.25,26,402.35,26,0,0,1,0,0.95,0.95,0.0,Sure Thing,0.95,No Discount (Sure Thing),94.82,550442
1.27,11,5042.42,38,0,1,0,0,0.04,0.0,0.04,Sure Thing,0.02,No Action,0.0,554753
2.93,24,425.11,38,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.99,578549
2.32,19,77.0,44,1,1,1,0,0.92,0.95,-0.03,Do Not Disturb,0.95,No Discount (Sure Thing),95.15,581111
2.5,20,203.34,42,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.11,584844
3.72,29,407.51,46,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.93,585745
4.58,37,449.58,51,1,0,0,0,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.6,596153
1.97,16,40.29,33,0,0,1,0,0.73,0.75,-0.02,Do Not Disturb,0.79,No Discount (Sure Thing),75.23,605558
6.25,50,30.48,40,1,0,1,1,0.92,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.52,608296
3.63,29,691.85,37,1,1,1,1,0.94,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.68,636526
2.73,22,112.74,54,1,1,1,0,0.95,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,648852
12.97,104,224.22,46,0,0,1,1,0.97,0.94,0.03,Sure Thing,0.95,No Discount (Sure Thing),93.94,651744
2.13,17,247.84,39,0,0,1,0,0.87,0.91,-0.04,Do Not Disturb,0.91,No Discount (Sure Thing),90.77,390811
2.15,17,238.87,26,0,0,1,0,0.9,0.89,0.01,Sure Thing,0.89,No Discount (Sure Thing),88.6,485505
2.6,21,443.29,45,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.04,491182
2.83,22,68.76,33,0,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),95.14,502444
4.57,37,721.06,37,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.61,514002
3.6,29,85.49,41,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.09,520225
2.25,18,370.04,51,0,0,1,0,0.9,0.94,-0.04,Do Not Disturb,0.93,No Discount (Sure Thing),93.58,523981
4.42,36,383.07,37,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.61,529205
2.38,19,152.11,38,0,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.19,535502
2.33,19,213.44,52,1,1,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.0,539221
2.85,23,422.77,37,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.97,539338
2.52,20,289.56,35,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,545633
2.35,19,193.24,49,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.08,546437
2.65,22,289.38,37,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,548113
2.13,17,695.7,34,0,0,1,1,0.89,0.9,-0.01,Sure Thing,0.91,No Discount (Sure Thing),90.03,548408
2.3,18,364.35,36,0,0,1,0,0.89,0.95,-0.06,Do Not Disturb,0.94,No Discount (Sure Thing),94.69,551217
2.88,23,340.64,43,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,552732
2.68,22,536.65,45,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.94,562886
2.5,20,71.42,19,0,1,1,0,0.91,0.95,-0.04,Do Not Disturb,0.94,No Discount (Sure Thing),94.55,563598
3.83,31,608.77,31,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.79,565768
3.6,29,695.45,47,1,1,1,0,0.94,0.95,-0.0,Sure Thing,0.95,No Discount (Sure Thing),94.65,575711
5.68,46,475.96,27,0,1,1,0,0.93,0.94,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.17,579323
2.92,24,242.83,31,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,580077
3.93,32,278.88,33,0,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.9,584423
3.22,26,1408.17,49,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.91,588414
2.02,16,224.38,47,0,0,1,0,0.79,0.8,-0.01,Sure Thing,0.8,No Discount (Sure Thing),79.61,627436
9.07,74,270.92,43,0,0,1,0,0.92,0.93,-0.01,Sure Thing,0.94,No Discount (Sure Thing),93.05,632965
3.02,24,759.81,38,0,0,1,0,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.97,680735
2.08,17,239.46,50,1,0,1,0,0.87,0.91,-0.04,Do Not Disturb,0.9,No Discount (Sure Thing),91.08,435882
2.85,23,334.24,30,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.83,463867
2.73,22,540.64,39,0,0,1,1,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.98,471161
2.47,20,422.42,55,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.97,491175
4.07,33,219.88,50,1,1,1,0,0.92,0.95,-0.03,Do Not Disturb,0.95,No Discount (Sure Thing),94.82,511535
2.25,18,87.71,50,1,1,0,0,0.85,0.93,-0.08,Do Not Disturb,0.92,No Discount (Sure Thing),93.45,511549
2.37,19,276.21,39,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.03,516296
3.17,25,79.11,44,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.15,525546
2.68,22,452.07,48,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.04,526867
2.42,19,465.8,40,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.92,527490
7.2,58,560.01,48,1,1,1,0,0.94,0.94,-0.0,Sure Thing,0.94,No Discount (Sure Thing),94.12,528735
4.02,32,219.99,43,0,0,0,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.85,543352
2.62,21,307.19,42,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.96,546485
3.02,25,313.23,31,0,0,1,1,0.93,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.83,550019
3.57,28,1225.13,26,0,0,1,0,0.95,0.94,0.01,Sure Thing,0.94,No Discount (Sure Thing),94.39,550202
2.57,20,290.51,40,1,0,1,1,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.96,553361
1.33,11,79.91,48,0,1,0,0,0.08,0.01,0.07,Persuadable,0.01,Give Discount,-12.3,556111
2.68,21,105.15,45,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.12,562315
4.38,35,398.14,37,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.61,565573
2.98,24,458.38,41,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.04,566787
3.03,24,103.82,47,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.12,569534
4.53,36,648.52,41,0,0,1,0,0.93,0.95,-0.01,Sure Thing,0.94,No Discount (Sure Thing),94.64,577145
3.7,30,301.7,46,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.93,592886
3.7,30,320.19,43,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.95,595442
2.25,18,138.07,52,1,1,0,0,0.87,0.93,-0.06,Do Not Disturb,0.92,No Discount (Sure Thing),93.36,605780
3.58,29,360.96,27,0,1,1,0,0.95,0.95,0.0,Sure Thing,0.95,No Discount (Sure Thing),94.68,618535
3.23,26,1354.96,40,0,1,1,0,0.92,0.95,-0.02,Do Not Disturb,0.94,No Discount (Sure Thing),94.77,622418
3.55,29,206.58,45,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.06,623850
2.77,22,225.95,46,0,1,1,0,0.94,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.13,651269
6.72,55,377.54,36,0,0,1,0,0.93,0.94,-0.02,Sure Thing,0.94,No Discount (Sure Thing),94.22,675594
2.32,19,62.4,36,0,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),95.14,682247
2.37,19,176.98,47,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.11,704870
2.33,19,141.99,37,0,0,1,0,0.92,0.95,-0.03,Do Not Disturb,0.95,No Discount (Sure Thing),95.17,714565
3.22,26,146.13,53,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.08,801660
8.23,67,104.69,44,0,1,1,0,0.94,0.94,-0.0,Sure Thing,0.94,No Discount (Sure Thing),94.36,153982
2.83,23,92.02,47,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.1,464239
3.2,26,680.89,38,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.91,494294
6.75,53,161.83,34,0,1,1,0,0.92,0.95,-0.03,Do Not Disturb,0.94,No Discount (Sure Thing),94.69,499634
2.48,20,325.12,37,1,0,1,0,0.93,0.95,-0.02,Sure Thing,0.95,No Discount (Sure Thing),94.94,515727
3.2,26,216.48,40,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.11,519853
1.2,10,136.33,47,1,1,0,0,0.0,0.01,-0.0,Sure Thing,0.01,Avoid (Do Not Disturb),0.62,520311
2.0,16,628.62,36,1,1,1,0,0.84,0.75,0.09,Persuadable,0.75,No Discount (Sure Thing),74.68,526239
4.98,40,476.0,50,1,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.56,526901
3.62,29,237.97,37,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.04,540244
2.47,20,624.83,21,0,0,1,1,0.93,0.93,-0.0,Sure Thing,0.93,No Discount (Sure Thing),93.17,540605
2.1,17,639.97,32,1,1,0,0,0.91,0.88,0.03,Sure Thing,0.88,No Discount (Sure Thing),87.73,540664
4.22,34,185.84,37,0,0,1,0,0.92,0.95,-0.03,Do Not Disturb,0.95,No Discount (Sure Thing),94.77,543826
2.3,19,443.34,33,0,1,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),94.9,547483
3.03,25,47.71,26,0,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.14,549281
2.3,18,249.02,42,0,0,1,0,0.9,0.95,-0.05,Do Not Disturb,0.94,No Discount (Sure Thing),94.74,549746
2.9,24,581.41,46,1,1,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),94.81,554269
3.08,24,470.9,33,0,0,1,0,0.94,0.95,-0.01,Sure Thing,0.95,No Discount (Sure Thing),95.03,554444
2.4,19,70.17,35,0,0,1,0,0.93,0.95,-0.02,Do Not Disturb,0.95,No Discount (Sure Thing),95.11,554956
